ID,Age,Household Size,Occupations,Household ID
1,16,2,,39022
2,67,4,,94058
3,25,2,,39022
4,26,2,,39023
5,2,3,,78421
6,71,3,,78421
7,21,2,,39023
8,5,3,,78421
9,16,2,,39024
10,12,2,,39024
11,12,1,,1
12,8,3,,78422
13,14,3,,78422
14,31,5,HEALTHCARE,106607
15,78,2,,39025
16,25,1,FOOD,2
17,58,2,INFORMATION,39025
18,12,4,,94058
19,63,3,,78422
20,24,2,INFORMATION,39026
21,64,3,WASTEMANAGEMENT,78423
22,20,2,HEALTHCARE,39026
23,76,1,,3
24,75,3,,78423
25,49,2,HEALTHCARE,39027
26,26,3,,78423
27,6,2,,39027
28,13,3,,78424
29,3,3,,78424
30,11,3,,78424
31,29,3,HEALTHCARE,78425
32,19,1,FINANCEINSURANCE,4
33,22,4,,94058
34,69,2,,39028
35,66,3,,78425
36,24,3,HEALTHCARE,78425
37,57,2,WASTEMANAGEMENT,39028
38,37,3,,78426
39,0,6,,110784
40,18,2,FOOD,39029
41,18,3,OTHER,78426
42,14,1,,5
43,20,6,HEALTHCARE,110784
44,25,5,,106607
45,43,1,,6
46,51,2,HEALTHCARE,39029
47,56,2,FOOD,39030
48,42,2,FINANCEINSURANCE,39030
49,58,2,,39031
50,23,4,,94058
51,21,4,HEALTHCARE,94059
52,24,4,,94059
53,16,5,,106607
54,53,2,WASTEMANAGEMENT,39031
55,62,3,,78426
56,38,6,FINANCEINSURANCE,110784
57,76,2,,39032
58,36,4,HEALTHCARE,94059
59,21,2,,39032
60,22,1,,7
61,18,1,,8
62,53,1,HEALTHCARE,9
63,15,1,,10
64,25,3,,78427
65,49,6,,110784
66,86,4,,94059
67,36,4,HEALTHCARE,94060
68,25,2,,39033
69,17,2,,39033
70,25,1,,11
71,12,4,,94060
72,18,1,,12
73,60,2,HEALTHCARE,39034
74,37,2,,39034
75,8,5,,106607
76,29,2,,39035
77,26,2,,39035
78,25,4,HEALTHCARE,94060
79,49,2,,39036
80,59,4,,94060
81,29,4,,94061
82,67,2,,39036
83,15,4,,94061
84,31,1,,13
85,47,4,,94061
86,24,2,FINANCEINSURANCE,39037
87,4,1,,14
88,9,5,,106607
89,38,2,FOOD,39037
90,93,3,,78427
91,4,2,,39038
92,17,4,,94061
93,28,2,,39038
94,29,2,HEALTHCARE,39039
95,35,4,,94062
96,36,2,HEALTHCARE,39039
97,85,1,,15
98,25,5,,106608
99,4,2,,39040
100,15,1,,16
101,41,2,,39040
102,34,2,,39041
103,72,4,,94062
104,9,4,,94062
105,24,3,,78427
106,62,4,WASTEMANAGEMENT,94062
107,39,2,HEALTHCARE,39041
108,15,6,,110784
109,7,2,,39042
110,3,3,,78428
111,71,2,,39042
112,23,4,FINANCEINSURANCE,94063
113,30,2,HEALTHCARE,39043
114,24,2,HEALTHCARE,39043
115,30,3,,78428
116,25,3,FOOD,78428
117,20,4,,94063
118,17,3,,78429
119,65,2,,39044
120,44,3,SCIENTIFICTECHNICAL,78429
121,20,3,HEALTHCARE,78429
122,23,2,,39044
123,23,4,,94063
124,43,4,HEALTHCARE,94063
125,64,1,,17
126,18,3,HEALTHCARE,78430
127,11,4,,94064
128,22,2,OTHER,39045
129,25,3,,78430
130,52,5,,106608
131,13,3,,78430
132,25,4,,94064
133,39,2,HEALTHCARE,39045
134,75,1,,18
135,59,5,,106608
136,34,2,INFORMATION,39046
137,42,4,,94064
138,44,1,,19
139,24,6,WASTEMANAGEMENT,110784
140,41,1,,20
141,7,4,,94064
142,15,3,,78431
143,23,2,,39046
144,40,1,,21
145,11,2,,39047
146,61,4,,94065
147,53,4,,94065
148,16,5,,106608
149,43,1,,22
150,37,3,HEALTHCARE,78431
151,1,4,,94065
152,68,4,,94065
153,41,6,SCIENTIFICTECHNICAL,110785
154,16,4,,94066
155,53,3,,78431
156,23,4,SCIENTIFICTECHNICAL,94066
157,61,4,,94066
158,29,1,,23
159,55,3,FINANCEINSURANCE,78432
160,24,2,SCIENTIFICTECHNICAL,39047
161,6,1,,24
162,11,2,,39048
163,53,1,,25
164,66,1,,26
165,24,4,HEALTHCARE,94066
166,29,4,,94067
167,28,3,,78432
168,3,3,,78432
169,27,4,,94067
170,39,4,,94067
171,52,3,,78433
172,59,2,,39048
173,47,3,INFORMATION,78433
174,36,4,,94067
175,1,1,,27
176,18,2,REALESTATERENTAL,39049
177,27,2,FOOD,39049
178,18,2,,39050
179,8,3,,78433
180,22,6,HEALTHCARE,110785
181,62,2,,39050
182,45,3,,78434
183,26,4,,94068
184,23,2,FINANCEINSURANCE,39051
185,23,3,FINANCEINSURANCE,78434
186,79,3,,78434
187,97,2,,39051
188,56,4,,94068
189,70,2,,39052
190,5,5,,106608
191,46,3,,78435
192,21,4,,94068
193,60,1,,28
194,39,2,,39052
195,14,2,,39053
196,99,1,,29
197,34,1,HEALTHCARE,30
198,83,4,,94068
199,22,1,WASTEMANAGEMENT,31
200,28,4,,94069
201,4,4,,94069
202,27,3,HEALTHCARE,78435
203,26,3,,78435
204,0,5,,106609
205,9,4,,94069
206,23,4,OTHER,94069
207,70,1,,32
208,12,2,,39053
209,51,4,WASTEMANAGEMENT,94070
210,27,3,INFORMATION,78436
211,26,4,,94070
212,57,4,,94070
213,23,3,SCIENTIFICTECHNICAL,78436
214,8,2,,39054
215,34,4,HEALTHCARE,94070
216,10,1,,33
217,67,1,,34
218,57,3,,78436
219,69,1,,35
220,72,3,,78437
221,63,4,,94071
222,98,3,,78437
223,42,2,HEALTHCARE,39054
224,50,1,INFORMATION,36
225,26,2,,39055
226,72,4,,94071
227,14,2,,39055
228,50,2,HEALTHCARE,39056
229,50,2,,39056
230,88,4,,94071
231,29,3,HEALTHCARE,78437
232,15,1,,37
233,10,2,,39057
234,40,2,,39057
235,39,4,FINANCEINSURANCE,94071
236,24,2,HEALTHCARE,39058
237,24,2,HEALTHCARE,39058
238,15,2,,39059
239,80,4,,94072
240,42,2,WASTEMANAGEMENT,39059
241,63,2,FOOD,39060
242,12,5,,106609
243,49,2,,39060
244,3,5,,106609
245,11,1,,38
246,71,4,,94072
247,23,4,,94072
248,57,2,,39061
249,57,2,INFORMATION,39061
250,0,4,,94072
251,15,6,,110785
252,34,5,FOOD,106609
253,26,6,SCIENTIFICTECHNICAL,110785
254,37,5,,106609
255,67,2,,39062
256,0,1,,39
257,66,1,,40
258,7,3,,78438
259,21,5,,106610
260,7,4,,94073
261,51,2,,39062
262,39,3,,78438
263,65,4,,94073
264,22,3,HEALTHCARE,78438
265,25,2,,39063
266,6,3,,78439
267,21,2,,39063
268,25,2,HEALTHCARE,39064
269,12,3,,78439
270,67,2,,39064
271,34,2,FOOD,39065
272,43,1,,41
273,32,2,,39065
274,49,2,,39066
275,5,2,,39066
276,29,5,,106610
277,64,2,HEALTHCARE,39067
278,47,2,,39067
279,25,4,,94073
280,20,2,,39068
281,59,2,,39068
282,37,4,,94073
283,27,4,,94074
284,7,3,,78439
285,12,2,,39069
286,36,5,,106610
287,65,1,,42
288,67,2,,39069
289,51,2,HEALTHCARE,39070
290,54,1,,43
291,75,2,,39070
292,22,4,WASTEMANAGEMENT,94074
293,16,5,,106610
294,62,5,FOOD,106610
295,29,2,,39071
296,28,1,FOOD,44
297,51,2,,39071
298,7,1,,45
299,66,3,,78440
300,56,6,,110785
301,66,4,,94074
302,54,3,FOOD,78440
303,25,2,,39072
304,61,1,SCIENTIFICTECHNICAL,46
305,29,1,FINANCEINSURANCE,47
306,31,3,WASTEMANAGEMENT,78440
307,42,3,OTHER,78441
308,63,1,HEALTHCARE,48
309,53,1,HEALTHCARE,49
310,10,2,,39072
311,68,4,,94074
312,29,1,,50
313,21,5,,106611
314,61,2,,39073
315,60,4,,94075
316,34,1,FINANCEINSURANCE,51
317,15,2,,39073
318,37,1,HEALTHCARE,52
319,6,1,,53
320,61,1,,54
321,76,4,,94075
322,21,3,FOOD,78441
323,24,3,,78441
324,11,3,,78442
325,1,4,,94075
326,6,2,,39074
327,25,3,,78442
328,33,2,,39074
329,10,3,,78442
330,22,1,ART,55
331,2,2,,39075
332,66,1,,56
333,51,6,OTHER,110785
334,7,3,,78443
335,72,4,,94075
336,29,2,,39075
337,39,2,FOOD,39076
338,40,3,,78443
339,57,6,,110786
340,64,3,SCIENTIFICTECHNICAL,78443
341,90,4,,94076
342,69,1,,57
343,42,2,,39076
344,35,1,,58
345,62,4,REALESTATERENTAL,94076
346,55,2,HEALTHCARE,39077
347,48,2,WASTEMANAGEMENT,39077
348,25,4,FOOD,94076
349,1,5,,106611
350,24,2,,39078
351,30,1,HEALTHCARE,59
352,38,2,WASTEMANAGEMENT,39078
353,24,2,,39079
354,18,2,,39079
355,28,5,,106611
356,53,4,,94076
357,17,2,,39080
358,58,4,SCIENTIFICTECHNICAL,94077
359,49,2,,39080
360,12,4,,94077
361,68,2,,39081
362,38,4,,94077
363,18,5,FOOD,106611
364,50,1,ART,60
365,51,4,,94077
366,18,4,SCIENTIFICTECHNICAL,94078
367,53,2,FINANCEINSURANCE,39081
368,48,1,,61
369,24,3,,78444
370,4,4,,94078
371,21,6,HEALTHCARE,110786
372,69,5,,106611
373,40,2,HEALTHCARE,39082
374,53,3,FINANCEINSURANCE,78444
375,62,6,,110786
376,1,4,,94078
377,9,2,,39082
378,5,2,,39083
379,32,3,,78444
380,58,2,FOOD,39083
381,75,5,,106612
382,16,4,,94078
383,36,2,FOOD,39084
384,47,4,,94079
385,20,2,ART,39084
386,63,2,,39085
387,63,2,,39085
388,30,4,HEALTHCARE,94079
389,19,4,SCIENTIFICTECHNICAL,94079
390,42,3,,78445
391,60,2,,39086
392,16,3,,78445
393,5,2,,39086
394,8,4,,94079
395,39,1,,62
396,58,1,,63
397,7,6,,110786
398,14,3,,78445
399,59,3,HEALTHCARE,78446
400,28,2,OTHER,39087
401,0,5,,106612
402,36,4,,94080
403,35,1,FINANCEINSURANCE,64
404,26,2,HEALTHCARE,39087
405,30,2,,39088
406,70,3,,78446
407,13,2,,39088
408,15,2,,39089
409,99,2,,39089
410,8,1,,65
411,23,3,,78446
412,58,2,OTHER,39090
413,48,4,,94080
414,64,2,,39090
415,0,5,,106612
416,22,3,FOOD,78447
417,29,2,,39091
418,12,2,,39091
419,9,1,,66
420,19,3,HEALTHCARE,78447
421,11,2,,39092
422,34,6,,110786
423,8,2,,39092
424,43,1,,67
425,17,6,,110786
426,48,2,,39093
427,31,3,,78447
428,55,2,FOOD,39093
429,9,4,,94080
430,31,6,,110787
431,27,1,FOOD,68
432,25,3,,78448
433,11,3,,78448
434,0,1,,69
435,66,2,,39094
436,22,1,,70
437,46,2,HEALTHCARE,39094
438,31,4,,94080
439,7,1,,71
440,2,4,,94081
441,59,2,,39095
442,22,6,,110787
443,26,1,HEALTHCARE,72
444,73,2,,39095
445,15,3,,78448
446,22,1,FINANCEINSURANCE,73
447,63,3,,78449
448,69,6,,110787
449,35,3,FOOD,78449
450,59,3,,78449
451,10,1,,74
452,48,2,,39096
453,25,5,,106612
454,76,3,,78450
455,40,1,FOOD,75
456,16,6,,110787
457,16,3,,78450
458,20,2,WASTEMANAGEMENT,39096
459,51,2,FOOD,39097
460,66,2,,39097
461,11,2,,39098
462,51,3,HEALTHCARE,78450
463,34,4,HEALTHCARE,94081
464,8,2,,39098
465,34,4,HEALTHCARE,94081
466,30,1,WASTEMANAGEMENT,76
467,62,4,,94081
468,4,2,,39099
469,42,6,,110787
470,23,3,,78451
471,39,3,,78451
472,21,1,,77
473,93,5,,106612
474,67,4,,94082
475,16,1,,78
476,14,3,,78451
477,12,4,,94082
478,64,2,HEALTHCARE,39099
479,23,2,,39100
480,16,2,,39100
481,35,3,HEALTHCARE,78452
482,34,3,,78452
483,8,1,,79
484,12,2,,39101
485,51,3,OTHER,78452
486,72,4,,94082
487,20,1,,80
488,50,2,HEALTHCARE,39101
489,23,1,HEALTHCARE,81
490,40,3,OTHER,78453
491,13,4,,94082
492,7,2,,39102
493,20,6,,110787
494,10,2,,39102
495,79,5,,106613
496,26,1,,82
497,18,3,FOOD,78453
498,32,2,,39103
499,12,2,,39103
500,100,3,,78453
501,17,3,,78454
502,43,3,,78454
503,35,2,FOOD,39104
504,66,4,,94083
505,21,2,WASTEMANAGEMENT,39104
506,62,3,,78454
507,11,3,,78455
508,49,4,,94083
509,26,5,HEALTHCARE,106613
510,21,5,,106613
511,10,1,,83
512,24,3,FINANCEINSURANCE,78455
513,9,3,,78455
514,11,1,,84
515,32,2,,39105
516,0,1,,85
517,78,3,,78456
518,26,1,,86
519,27,1,,87
520,25,1,OTHER,88
521,16,6,,110788
522,21,5,FOOD,106613
523,2,2,,39105
524,50,6,,110788
525,68,6,,110788
526,11,2,,39106
527,72,4,,94083
528,43,4,,94083
529,23,4,,94084
530,4,1,,89
531,58,2,,39106
532,18,1,HEALTHCARE,90
533,7,6,,110788
534,59,2,SCIENTIFICTECHNICAL,39107
535,27,2,,39107
536,14,3,,78456
537,4,5,,106613
538,80,2,,39108
539,58,2,,39108
540,36,4,,94084
541,77,1,,91
542,43,1,HEALTHCARE,92
543,41,1,WASTEMANAGEMENT,93
544,53,4,HEALTHCARE,94084
545,99,6,,110788
546,27,5,,106614
547,53,2,ART,39109
548,23,2,,39109
549,50,2,,39110
550,57,2,HEALTHCARE,39110
551,69,2,,39111
552,29,1,,94
553,65,3,FINANCEINSURANCE,78456
554,67,2,,39111
555,42,3,,78457
556,59,4,,94084
557,22,3,,78457
558,73,4,,94085
559,28,2,HEALTHCARE,39112
560,4,1,,95
561,36,2,,39112
562,13,2,,39113
563,40,2,,39113
564,26,1,,96
565,27,4,,94085
566,95,5,,106614
567,69,1,,97
568,5,3,,78457
569,65,1,HEALTHCARE,98
570,59,3,FINANCEINSURANCE,78458
571,22,1,FOOD,99
572,23,2,,39114
573,13,2,,39114
574,30,2,,39115
575,8,2,,39115
576,61,2,,39116
577,14,4,,94085
578,0,4,,94085
579,68,1,,100
580,26,4,FOOD,94086
581,98,6,,110788
582,60,3,,78458
583,96,1,,101
584,15,4,,94086
585,15,4,,94086
586,23,4,,94086
587,52,2,,39116
588,15,1,,102
589,24,1,,103
590,16,2,,39117
591,53,4,,94087
592,83,3,,78458
593,6,2,,39117
594,29,2,,39118
595,48,3,,78459
596,10,2,,39118
597,14,3,,78459
