ID,Age,Household Size,Occupations,Household ID
1,75,1,,1
2,40,2,,7399
3,70,4,,22849
4,5,4,,22849
5,3,4,,22849
6,48,4,,22849
7,64,4,,22850
8,18,1,SCIENTIFICTECHNICAL,2
9,49,1,,3
10,6,4,,22850
11,34,4,,22850
12,17,4,,22850
13,14,2,,7399
14,53,6,,28818
15,52,3,HEALTHCARE,18448
16,19,6,,28818
17,8,2,,7400
18,79,2,,7400
19,50,3,,18448
20,63,3,,18448
21,15,2,,7401
22,47,1,,4
23,20,3,SCIENTIFICTECHNICAL,18449
24,49,3,,18449
25,34,2,,7401
26,25,2,,7402
27,12,2,,7402
28,20,6,,28818
29,6,2,,7403
30,47,4,,22851
31,24,2,,7403
32,36,1,,5
33,47,1,,6
34,41,5,,26724
35,66,4,,22851
36,64,1,,7
37,56,4,,22851
38,65,1,,8
39,51,2,,7404
40,32,5,FOOD,26724
41,70,4,,22851
42,51,2,,7404
43,29,4,,22852
44,64,4,,22852
45,58,2,,7405
46,63,4,,22852
47,10,2,,7405
48,1,3,,18449
49,60,3,,18450
50,1,4,,22852
51,16,3,,18450
52,78,4,,22853
53,55,5,,26724
54,75,2,,7406
55,63,1,,9
56,1,4,,22853
57,56,4,,22853
58,63,4,,22853
59,71,5,,26724
60,64,4,,22854
61,92,5,,26724
62,61,4,,22854
63,39,4,,22854
64,63,3,,18450
65,21,3,,18451
66,46,4,,22854
67,6,1,,10
68,45,2,,7406
69,25,6,,28818
70,5,2,,7407
71,9,2,,7407
72,31,3,,18451
73,10,3,,18451
74,87,2,,7408
75,6,2,,7408
76,54,2,,7409
77,7,2,,7409
78,46,4,,22855
79,65,3,,18452
80,7,4,,22855
81,46,4,,22855
82,23,3,,18452
83,61,2,,7410
84,36,1,,11
85,17,3,,18452
86,83,4,,22855
87,49,3,,18453
88,35,1,,12
89,62,3,,18453
90,64,5,HEALTHCARE,26725
91,23,5,,26725
92,45,2,,7410
93,17,6,,28818
94,42,1,,13
95,42,2,,7411
96,5,6,,28818
97,41,2,SCIENTIFICTECHNICAL,7411
98,56,4,,22856
99,5,3,,18453
100,24,4,,22856
101,24,2,,7412
102,22,3,,18454
103,74,5,,26725
104,90,3,,18454
105,39,3,HEALTHCARE,18454
106,32,4,,22856
107,19,2,,7412
108,14,2,,7413
109,57,2,,7413
110,74,1,,14
111,61,5,,26725
112,53,2,,7414
113,63,4,,22856
114,99,2,,7414
115,74,3,,18455
116,28,2,FOOD,7415
117,56,2,ART,7415
118,44,3,FOOD,18455
119,5,2,,7416
120,30,5,,26725
121,57,2,,7416
122,6,3,,18455
123,68,4,,22857
124,16,2,,7417
125,68,4,,22857
126,2,5,,26726
127,14,5,,26726
128,7,2,,7417
129,48,3,,18456
130,54,6,,28819
131,65,3,SCIENTIFICTECHNICAL,18456
132,69,3,,18456
133,13,5,,26726
134,3,2,,7418
135,24,5,,26726
136,51,4,,22857
137,32,2,,7418
138,27,3,HEALTHCARE,18457
139,6,2,,7419
140,34,2,FOOD,7419
141,68,1,,15
142,65,2,,7420
143,14,2,,7420
144,58,4,,22857
145,47,5,,26726
146,6,2,,7421
147,72,4,,22858
148,39,4,,22858
149,22,6,,28819
150,55,3,FOOD,18457
151,64,4,,22858
152,69,3,,18457
153,64,5,,26727
154,31,5,,26727
155,5,5,,26727
156,25,5,,26727
157,10,1,,16
158,52,1,FOOD,17
159,42,4,,22858
160,23,5,,26727
161,63,2,,7421
162,5,4,,22859
163,26,3,,18458
164,11,5,,26728
165,63,3,,18458
166,66,6,,28819
167,66,2,,7422
168,63,4,,22859
169,92,5,,26728
170,11,3,,18458
171,67,2,,7422
172,40,4,,22859
173,53,2,,7423
174,68,3,,18459
175,68,2,,7423
176,57,6,,28819
177,60,6,,28819
178,1,4,,22859
179,89,5,,26728
180,29,1,,18
181,19,6,,28819
182,18,6,,28820
183,14,5,,26728
184,23,3,,18459
185,13,1,,19
186,21,6,,28820
187,21,2,,7424
188,58,4,,22860
189,35,3,,18459
190,14,5,,26728
191,59,4,,22860
192,45,4,,22860
193,40,2,SCIENTIFICTECHNICAL,7424
194,20,6,FOOD,28820
195,64,5,,26729
196,30,6,,28820
197,30,2,,7425
198,49,5,,26729
199,5,2,,7425
200,58,2,,7426
201,17,2,,7426
202,61,4,,22860
203,27,3,,18460
204,45,1,,20
205,12,2,,7427
206,22,6,,28820
207,2,4,,22861
208,24,4,,22861
209,10,2,,7427
210,7,5,,26729
211,6,2,,7428
212,46,2,,7428
213,23,5,,26729
214,42,4,,22861
215,61,3,,18460
216,64,2,,7429
217,82,1,,21
218,21,2,,7429
219,59,4,OTHER,22861
220,36,2,,7430
221,35,2,,7430
222,65,2,HEALTHCARE,7431
223,36,1,,22
224,1,2,,7431
225,26,4,,22862
226,70,5,,26729
227,38,3,,18460
228,1,2,,7432
229,12,5,,26730
230,33,4,,22862
231,32,3,,18461
232,46,3,,18461
233,60,5,,26730
234,54,1,,23
235,18,5,,26730
236,46,5,,26730
237,64,3,,18461
238,28,3,,18462
239,67,3,,18462
240,52,3,,18462
241,2,6,,28820
242,6,4,,22862
243,18,4,SCIENTIFICTECHNICAL,22862
244,16,6,,28821
245,39,4,,22863
246,27,4,,22863
247,42,6,,28821
248,69,4,,22863
249,64,2,,7432
250,33,3,,18463
251,69,2,,7433
252,29,4,,22863
253,68,3,,18463
254,70,2,,7433
255,3,1,,24
256,1,3,,18463
257,39,3,,18464
258,55,5,FOOD,26730
259,70,5,,26731
260,57,3,,18464
261,0,3,,18464
262,31,2,,7434
263,46,5,,26731
264,59,2,,7434
265,68,2,,7435
266,0,4,,22864
267,75,3,,18465
268,46,4,,22864
269,54,3,,18465
270,63,4,,22864
271,88,2,,7435
272,57,4,,22864
273,55,6,,28821
274,61,6,,28821
275,45,5,,26731
276,27,2,,7436
277,64,4,,22865
278,52,3,SCIENTIFICTECHNICAL,18465
279,68,2,,7436
280,9,3,,18466
281,11,3,,18466
282,29,3,,18466
283,6,4,,22865
284,34,5,,26731
285,55,2,,7437
286,2,2,,7437
287,12,4,,22865
288,62,5,,26731
289,33,2,,7438
290,62,6,,28821
291,19,4,,22865
292,31,6,FOOD,28821
293,2,2,,7438
294,35,3,,18467
295,35,2,,7439
296,1,3,,18467
297,25,5,,26732
298,34,5,,26732
299,5,6,,28822
300,30,4,,22866
301,44,4,,22866
302,50,5,,26732
303,40,3,,18467
304,46,4,,22866
305,34,2,,7439
306,0,6,,28822
307,9,6,,28822
308,14,3,,18468
309,57,5,,26732
310,4,4,,22866
311,59,1,,25
312,35,2,,7440
313,33,1,,26
314,23,5,,26732
315,12,4,,22867
316,27,5,,26733
317,21,2,,7440
318,0,4,,22867
319,67,2,,7441
320,13,4,,22867
321,57,2,,7441
322,22,2,HEALTHCARE,7442
323,27,1,,27
324,45,1,,28
325,2,3,,18468
326,26,4,,22867
327,16,5,,26733
328,78,6,,28822
329,29,2,FOOD,7442
330,69,3,,18468
331,3,4,,22868
332,65,4,,22868
333,68,3,,18469
334,59,3,,18469
335,9,1,,29
336,22,2,,7443
337,64,5,,26733
338,42,5,,26733
339,32,4,,22868
340,51,2,,7443
341,47,3,,18469
342,56,1,,30
343,34,4,,22868
344,32,4,,22869
345,54,4,,22869
346,20,2,,7444
347,2,2,,7444
348,60,5,,26733
349,14,4,,22869
350,30,4,,22869
351,83,6,,28822
352,33,2,,7445
353,67,2,,7445
354,82,2,,7446
355,59,2,,7446
356,18,2,,7447
357,16,4,,22870
358,37,3,,18470
359,42,2,,7447
360,59,5,,26734
361,1,5,,26734
362,66,2,,7448
363,66,5,,26734
364,71,2,,7448
365,52,3,,18470
366,56,5,,26734
367,57,2,,7449
368,57,2,,7449
369,61,4,,22870
370,68,3,,18470
371,40,2,,7450
372,38,2,,7450
373,47,1,,31
374,34,4,,22870
375,4,2,,7451
376,53,1,,32
377,67,3,,18471
378,1,3,,18471
379,64,3,SCIENTIFICTECHNICAL,18471
380,19,5,,26734
381,62,2,,7451
382,25,5,,26735
383,63,6,,28822
384,45,2,,7452
385,60,4,,22870
386,19,2,,7452
387,14,4,,22871
388,10,2,,7453
389,56,1,,33
390,26,4,,22871
