ID,Age,Household Size,Occupations,Household ID
1,32,3,,9890
2,76,1,,1
3,35,2,,4093
4,62,2,,4093
5,46,6,,14670
6,20,5,,13764
7,14,2,,4094
8,33,4,HEALTHCARE,11940
9,6,5,,13764
10,40,3,HEALTHCARE,9890
11,48,5,,13764
12,47,4,,11940
13,36,3,,9890
14,61,3,HEALTHCARE,9891
15,69,2,,4094
16,8,5,,13764
17,66,5,,13764
18,20,4,,11940
19,81,1,,2
20,12,2,,4095
21,39,2,,4095
22,51,1,,3
23,5,3,,9891
24,29,1,HEALTHCARE,4
25,73,5,,13765
26,39,3,FOOD,9891
27,43,4,,11940
28,96,2,,4096
29,47,6,,14670
30,12,2,,4096
31,38,3,,9892
32,40,2,,4097
33,68,1,,5
34,21,2,HEALTHCARE,4097
35,42,3,OTHER,9892
36,59,4,FOOD,11941
37,49,3,,9892
38,62,5,,13765
39,34,3,,9893
40,80,3,,9893
41,43,4,,11941
42,9,3,,9893
43,38,1,,6
44,7,2,,4098
45,24,6,,14670
46,56,3,,9894
47,21,3,,9894
48,24,5,,13765
49,46,3,,9894
50,9,4,,11941
51,64,1,,7
52,80,1,,8
53,53,1,FOOD,9
54,62,4,,11941
55,89,2,,4098
56,75,2,,4099
57,49,2,,4099
58,50,6,,14670
59,59,4,,11942
60,30,2,,4100
61,2,2,,4100
62,58,4,,11942
63,67,1,,10
64,8,1,,11
65,64,5,,13765
66,59,4,,11942
67,20,4,,11942
68,70,1,,12
69,15,4,,11943
70,56,5,,13765
71,25,2,FOOD,4101
72,14,4,,11943
73,30,2,FOOD,4101
74,58,1,,13
75,26,3,FOOD,9895
76,94,4,,11943
77,62,3,,9895
78,35,2,,4102
79,81,6,,14670
80,0,4,,11943
81,61,3,HEALTHCARE,9895
82,89,3,,9896
83,51,2,HEALTHCARE,4102
84,33,1,,14
85,91,4,,11944
86,63,4,,11944
87,52,3,,9896
88,0,2,,4103
89,12,4,,11944
90,55,6,OTHER,14670
91,37,2,,4103
92,32,6,,14671
93,57,3,SCIENTIFICTECHNICAL,9896
94,52,2,,4104
95,46,4,,11944
96,12,2,,4104
97,8,4,,11945
98,78,5,,13766
99,2,5,,13766
100,48,5,,13766
101,59,2,,4105
102,73,2,,4105
103,44,4,,11945
104,30,2,WASTEMANAGEMENT,4106
105,21,6,,14671
106,14,1,,15
107,41,2,,4106
108,52,2,,4107
109,60,4,HEALTHCARE,11945
110,41,5,HEALTHCARE,13766
111,97,4,,11945
112,6,4,,11946
113,82,3,,9897
114,79,1,,16
115,77,6,,14671
116,45,4,,11946
117,20,1,,17
118,41,6,,14671
119,12,2,,4107
120,64,3,,9897
121,8,2,,4108
122,22,4,,11946
123,26,5,,13766
124,38,2,HEALTHCARE,4108
125,37,2,,4109
126,53,5,,13767
127,1,5,,13767
128,78,6,,14671
129,60,3,,9897
130,4,2,,4109
131,33,6,FOOD,14671
132,62,6,,14672
133,68,2,,4110
134,9,6,,14672
135,32,3,,9898
136,42,4,,11946
137,3,2,,4110
138,6,2,,4111
139,53,4,,11947
140,14,1,,18
141,26,6,,14672
142,65,3,,9898
143,41,1,,19
144,39,1,,20
145,50,4,,11947
146,59,4,,11947
147,23,6,HEALTHCARE,14672
148,17,2,,4111
149,59,3,,9898
150,23,1,,21
151,39,5,,13767
152,55,6,,14672
153,56,4,FOOD,11947
154,11,1,,22
155,70,3,,9899
156,32,1,,23
157,18,2,,4112
158,61,5,,13767
159,23,1,,24
160,6,1,,25
161,20,4,,11948
162,57,1,,26
163,74,4,,11948
164,30,3,HEALTHCARE,9899
165,41,5,,13767
166,5,2,,4112
167,26,2,,4113
168,30,5,,13768
169,13,2,,4113
170,59,2,INFORMATION,4114
171,70,3,,9899
172,43,2,,4114
173,36,5,,13768
174,60,6,,14672
175,35,3,,9900
176,28,1,,27
177,10,2,,4115
178,24,6,,14673
179,22,2,,4115
180,12,2,,4116
181,41,5,HEALTHCARE,13768
182,29,6,,14673
183,29,3,,9900
184,33,2,,4116
185,32,1,,28
186,15,1,,29
187,78,1,,30
188,4,5,,13768
189,1,2,,4117
190,31,1,,31
191,47,3,,9900
192,32,2,,4117
193,50,2,,4118
194,43,4,,11948
195,56,3,,9901
196,2,2,,4118
197,92,2,,4119
198,72,4,,11948
199,65,1,INFORMATION,32
200,9,2,,4119
201,17,2,,4120
202,70,1,,33
203,69,2,,4120
204,27,3,,9901
205,3,3,,9901
206,52,6,HEALTHCARE,14673
207,14,3,,9902
208,83,2,,4121
209,21,5,,13768
210,24,5,,13769
211,46,2,,4121
212,16,3,,9902
213,62,4,,11949
214,30,3,WASTEMANAGEMENT,9902
215,37,2,WASTEMANAGEMENT,4122
216,15,2,,4122
217,53,3,HEALTHCARE,9903
218,16,3,,9903
219,43,5,,13769
220,33,4,,11949
221,45,1,,34
222,56,4,,11949
223,16,1,,35
224,11,4,,11949
225,26,4,,11950
226,49,4,,11950
227,72,2,,4123
228,8,3,,9903
229,36,5,,13769
230,36,3,,9904
231,15,2,,4123
232,7,6,,14673
233,12,2,,4124
234,58,3,,9904
235,35,2,,4124
236,41,2,,4125
237,59,2,,4125
238,51,3,,9904
239,99,1,,36
240,13,1,,37
241,25,5,,13769
242,70,4,,11950
243,61,2,HEALTHCARE,4126
244,78,3,,9905
245,20,3,,9905
246,94,2,,4126
247,55,3,FOOD,9905
248,15,2,,4127
249,46,6,,14673
250,75,6,,14673
251,53,2,,4127
252,1,5,,13769
253,21,4,,11950
254,35,4,INFORMATION,11951
255,67,2,,4128
256,9,2,,4128
257,36,5,HEALTHCARE,13770
258,14,4,,11951
259,20,3,,9906
260,58,2,,4129
261,28,2,WASTEMANAGEMENT,4129
262,33,2,HEALTHCARE,4130
263,62,3,,9906
264,64,2,,4130
265,69,4,,11951
266,56,1,,38
267,56,5,,13770
268,100,2,,4131
269,63,4,,11951
270,14,2,,4131
271,14,5,,13770
272,16,2,,4132
273,87,5,,13770
274,0,3,,9906
275,58,4,,11952
276,1,2,,4132
277,60,2,,4133
278,24,4,,11952
279,30,1,,39
280,21,1,,40
281,36,2,,4133
282,5,2,,4134
283,46,6,,14674
284,8,3,,9907
285,41,2,,4134
286,85,2,,4135
287,9,5,,13770
288,66,2,,4135
289,36,4,,11952
290,21,1,,41
291,58,2,,4136
292,50,4,,11952
293,92,4,,11953
294,12,4,,11953
295,42,3,,9907
296,19,5,SCIENTIFICTECHNICAL,13771
297,56,5,,13771
298,2,5,,13771
299,92,3,,9907
300,50,1,WASTEMANAGEMENT,42
301,51,4,,11953
302,56,2,,4136
303,54,2,,4137
304,76,4,,11953
305,89,2,,4137
306,0,2,,4138
307,17,1,,43
308,48,1,,44
309,71,5,,13771
310,12,2,,4138
311,51,2,,4139
312,54,1,,45
313,55,2,,4139
314,47,4,,11954
315,45,1,,46
316,62,2,HEALTHCARE,4140
317,43,2,,4140
318,2,3,,9908
319,41,5,,13771
320,27,1,,47
321,2,2,,4141
322,85,2,,4141
323,57,1,HEALTHCARE,48
324,77,6,,14674
325,58,4,,11954
326,14,2,,4142
327,8,2,,4142
328,33,5,,13772
329,8,2,,4143
330,54,2,,4143
331,59,2,FOOD,4144
332,29,2,,4144
333,36,4,,11954
334,73,3,,9908
335,20,2,,4145
336,59,4,,11954
337,68,2,,4145
338,56,2,,4146
339,57,4,,11955
340,7,4,,11955
341,28,2,HEALTHCARE,4146
342,1,2,,4147
343,65,4,,11955
344,24,5,,13772
345,30,4,FOOD,11955
346,46,5,,13772
347,58,4,,11956
348,32,2,HEALTHCARE,4147
349,39,3,,9908
350,1,4,,11956
351,70,1,,49
352,33,5,,13772
353,3,4,,11956
354,42,2,,4148
355,9,5,,13772
356,57,4,HEALTHCARE,11956
357,7,5,,13773
358,62,2,,4148
359,19,5,,13773
360,58,4,,11957
361,52,3,,9909
362,0,2,,4149
363,78,4,,11957
364,90,4,,11957
365,46,4,HEALTHCARE,11957
366,47,2,FINANCEINSURANCE,4149
367,73,2,,4150
368,52,3,,9909
369,26,4,,11958
370,48,1,,50
371,12,3,,9909
372,13,3,,9910
373,18,4,,11958
374,16,1,,51
375,58,3,SCIENTIFICTECHNICAL,9910
376,87,3,,9910
377,74,2,,4150
378,34,6,,14674
379,52,3,,9911
380,46,3,,9911
381,26,1,,52
382,26,6,,14674
383,26,3,,9911
384,30,4,HEALTHCARE,11958
385,7,2,,4151
386,42,2,,4151
387,66,1,,53
388,40,2,,4152
389,56,3,,9912
390,93,3,,9912
391,70,2,,4152
392,43,3,,9912
393,43,6,FOOD,14674
394,58,2,SCIENTIFICTECHNICAL,4153
395,85,3,,9913
396,100,4,,11958
397,38,4,,11959
398,2,4,,11959
399,17,2,,4153
400,3,3,,9913
401,28,4,FOOD,11959
402,15,2,,4154
403,39,2,,4154
404,50,5,,13773
405,74,3,,9913
406,68,6,,14674
407,6,2,,4155
408,25,2,,4155
409,15,2,,4156
410,36,2,FINANCEINSURANCE,4156
411,10,5,,13773
412,38,3,,9914
413,35,5,,13773
414,14,3,,9914
415,42,4,WASTEMANAGEMENT,11959
416,9,2,,4157
417,19,2,,4157
418,36,1,,54
419,24,2,HEALTHCARE,4158
420,52,4,,11960
421,41,4,,11960
422,72,2,,4158
423,96,3,,9914
424,65,3,SCIENTIFICTECHNICAL,9915
425,26,5,,13774
426,64,6,,14675
427,24,3,,9915
428,12,2,,4159
429,12,4,,11960
430,24,2,FOOD,4159
431,37,1,FOOD,55
432,3,2,,4160
433,5,3,,9915
434,19,4,,11960
435,13,1,,56
436,16,1,,57
437,55,2,,4160
438,37,4,HEALTHCARE,11961
439,31,2,,4161
440,11,1,,58
441,33,5,HEALTHCARE,13774
442,36,4,,11961
443,37,4,HEALTHCARE,11961
444,14,3,,9916
445,0,3,,9916
446,20,2,WASTEMANAGEMENT,4161
447,15,5,,13774
448,41,1,SCIENTIFICTECHNICAL,59
449,8,2,,4162
450,44,2,FOOD,4162
451,17,2,,4163
452,28,2,,4163
453,49,4,,11961
454,62,4,HEALTHCARE,11962
455,26,1,,60
456,46,2,,4164
457,28,3,HEALTHCARE,9916
458,56,4,HEALTHCARE,11962
459,14,3,,9917
460,20,5,,13774
461,47,4,,11962
462,11,2,,4164
463,65,1,HEALTHCARE,61
464,27,1,FOOD,62
465,55,2,,4165
466,42,5,,13774
467,20,4,,11962
468,39,4,,11963
469,39,2,HEALTHCARE,4165
470,31,5,WASTEMANAGEMENT,13775
471,14,3,,9917
472,59,5,WASTEMANAGEMENT,13775
473,51,2,,4166
474,69,6,,14675
475,40,5,,13775
476,3,2,,4166
477,76,2,,4167
478,90,2,,4167
479,67,4,,11963
480,64,1,,63
481,55,2,,4168
482,85,5,,13775
483,49,6,,14675
484,18,2,,4168
485,18,3,,9917
486,69,3,,9918
487,92,3,,9918
488,32,3,HEALTHCARE,9918
489,64,2,,4169
490,0,2,,4169
491,32,4,,11963
492,35,1,,64
493,60,1,,65
494,64,1,,66
495,21,2,,4170
496,32,2,FOOD,4170
497,10,4,,11963
498,21,3,,9919
499,40,2,,4171
500,4,4,,11964
501,51,5,,13775
502,5,3,,9919
503,15,2,,4171
504,18,4,,11964
505,55,3,HEALTHCARE,9919
506,67,4,,11964
507,15,5,,13776
508,20,4,HEALTHCARE,11964
509,87,4,,11965
510,62,2,,4172
511,59,5,,13776
512,24,2,,4172
513,70,3,,9920
514,4,4,,11965
515,66,2,,4173
516,8,4,,11965
517,49,6,SCIENTIFICTECHNICAL,14675
518,67,2,,4173
519,49,4,,11965
520,46,5,,13776
521,69,3,,9920
522,25,5,,13776
523,48,4,,11966
524,27,6,FOOD,14675
525,29,3,,9920
526,3,4,,11966
527,40,4,HEALTHCARE,11966
528,31,2,,4174
529,84,2,,4174
530,49,5,,13776
531,26,4,,11966
532,7,3,,9921
533,36,6,HEALTHCARE,14675
534,89,5,,13777
535,84,5,,13777
536,36,4,,11967
537,91,2,,4175
538,15,3,,9921
539,66,4,,11967
540,53,2,,4175
541,58,5,,13777
542,40,3,,9921
543,32,1,,67
544,24,5,OTHER,13777
545,6,2,,4176
546,6,2,,4176
547,63,5,,13777
548,18,4,,11967
549,24,4,,11967
550,0,5,,13778
551,19,2,,4177
552,77,4,,11968
553,57,2,SCIENTIFICTECHNICAL,4177
554,29,5,,13778
555,60,2,HEALTHCARE,4178
556,19,5,,13778
557,45,2,,4178
558,2,1,,68
559,53,2,,4179
560,26,2,,4179
561,84,2,,4180
562,59,3,,9922
563,73,3,,9922
564,38,3,,9922
565,20,6,,14676
566,62,2,,4180
567,7,2,,4181
568,36,6,,14676
569,10,5,,13778
570,44,2,,4181
571,47,2,,4182
572,19,4,,11968
573,41,3,,9923
574,30,3,,9923
575,73,5,,13778
576,52,4,FOOD,11968
577,49,2,,4182
578,27,2,,4183
579,30,4,,11968
580,66,5,,13779
581,78,5,,13779
582,49,4,,11969
583,7,2,,4183
584,60,3,,9923
585,40,4,,11969
586,61,5,,13779
587,20,2,,4184
588,58,2,OTHER,4184
589,41,4,,11969
590,31,4,,11969
591,62,2,,4185
592,41,4,WASTEMANAGEMENT,11970
593,14,2,,4185
594,89,5,,13779
595,74,2,,4186
596,34,5,HEALTHCARE,13779
597,56,3,,9924
598,42,2,HEALTHCARE,4186
599,46,3,SCIENTIFICTECHNICAL,9924
600,42,1,,69
601,14,2,,4187
602,43,6,,14676
603,30,2,FINANCEINSURANCE,4187
604,2,2,,4188
605,31,2,,4188
606,61,6,,14676
607,25,2,,4189
608,3,2,,4189
609,75,2,,4190
610,89,2,,4190
611,1,2,,4191
612,57,3,,9924
613,39,3,,9925
614,43,2,,4191
615,20,3,,9925
616,33,3,,9925
617,21,1,,70
618,44,4,HEALTHCARE,11970
619,66,2,,4192
620,21,1,,71
621,56,5,,13780
622,25,5,,13780
623,6,1,,72
624,2,4,,11970
625,12,3,,9926
626,59,5,HEALTHCARE,13780
627,19,3,FOOD,9926
628,34,2,,4192
629,50,6,,14676
630,12,3,,9926
631,51,1,,73
632,38,1,,74
633,66,2,,4193
634,5,1,,75
635,95,4,,11970
636,30,4,,11971
637,50,6,,14676
638,71,4,,11971
639,38,1,,76
640,34,5,,13780
641,16,2,,4193
642,1,2,,4194
643,8,3,,9927
644,11,2,,4194
645,52,2,,4195
646,59,2,,4195
647,1,3,,9927
648,20,4,HEALTHCARE,11971
649,63,5,,13780
650,62,3,,9927
651,97,5,,13781
652,29,1,,77
653,84,2,,4196
654,5,5,,13781
655,53,5,,13781
656,57,3,,9928
657,5,4,,11971
658,59,6,,14677
659,3,3,,9928
660,43,1,,78
661,27,5,,13781
662,91,2,,4196
663,53,5,,13781
664,54,2,,4197
665,26,2,FOOD,4197
666,41,5,,13782
667,34,4,,11972
668,33,2,,4198
669,26,2,,4198
670,54,1,,79
671,50,3,,9928
672,31,2,,4199
673,39,1,HEALTHCARE,80
674,24,1,,81
675,19,5,,13782
676,68,1,,82
677,58,3,,9929
678,12,3,,9929
679,63,6,,14677
680,9,1,,83
681,22,3,,9929
682,41,3,,9930
683,53,4,FOOD,11972
684,67,4,,11972
685,66,2,,4199
686,41,6,,14677
687,47,4,FOOD,11972
688,34,2,,4200
689,35,4,HEALTHCARE,11973
690,69,3,,9930
691,19,2,,4200
692,22,1,,84
693,42,3,FOOD,9930
694,54,6,,14677
695,1,3,,9931
696,88,5,,13782
697,8,4,,11973
698,49,2,,4201
699,55,2,,4201
700,82,3,,9931
701,1,4,,11973
702,28,1,,85
703,49,2,HEALTHCARE,4202
704,38,5,HEALTHCARE,13782
705,62,6,,14677
706,51,2,,4202
707,6,2,,4203
708,61,4,,11973
709,64,2,,4203
710,11,3,,9931
711,65,6,,14677
712,13,3,,9932
713,24,2,,4204
714,5,4,,11974
715,19,5,,13782
716,27,2,,4204
717,69,6,,14678
718,52,1,,86
719,40,3,,9932
720,51,5,,13783
721,6,1,,87
722,57,2,,4205
723,0,2,,4205
724,13,5,,13783
725,50,5,FINANCEINSURANCE,13783
726,69,2,,4206
727,30,2,,4206
728,28,3,FOOD,9932
729,56,4,,11974
730,19,4,,11974
731,73,4,,11974
732,16,2,,4207
733,49,1,HEALTHCARE,88
734,82,2,,4207
735,60,1,,89
736,56,5,,13783
737,84,1,,90
738,14,5,,13783
739,5,4,,11975
740,15,5,,13784
741,35,6,,14678
742,42,5,,13784
743,46,5,,13784
744,28,1,,91
745,27,2,,4208
746,10,4,,11975
747,40,5,,13784
748,22,3,,9933
749,2,1,,92
750,57,3,,9933
751,2,4,,11975
752,47,3,,9933
753,8,3,,9934
754,51,5,,13784
755,9,1,,93
756,75,4,,11975
757,40,4,,11976
758,11,2,,4208
759,78,4,,11976
760,86,2,,4209
761,16,4,,11976
762,62,4,FOOD,11976
763,72,2,,4209
764,26,1,,94
765,7,4,,11977
766,27,4,,11977
767,86,1,,95
768,44,4,,11977
769,48,5,HEALTHCARE,13785
770,55,2,,4210
771,22,4,,11977
772,19,2,,4210
773,26,3,,9934
774,23,2,,4211
775,69,3,,9934
776,38,5,,13785
777,35,2,HEALTHCARE,4211
778,17,2,,4212
779,43,3,,9935
780,29,3,,9935
781,43,4,HEALTHCARE,11978
782,22,3,,9935
783,99,2,,4212
784,19,1,,96
785,21,5,,13785
786,41,4,,11978
787,32,2,,4213
788,39,3,,9936
789,37,3,HEALTHCARE,9936
790,43,2,,4213
791,73,2,,4214
792,35,4,FOOD,11978
793,59,2,,4214
794,21,2,,4215
795,30,3,,9936
796,36,5,,13785
797,2,2,,4215
798,58,3,HEALTHCARE,9937
799,15,4,,11978
800,28,3,,9937
801,34,2,,4216
802,63,2,,4216
803,73,2,,4217
804,27,4,FOOD,11979
805,53,1,,97
806,55,2,FINANCEINSURANCE,4217
807,17,1,,98
808,31,4,,11979
809,23,2,,4218
810,87,2,,4218
811,52,2,,4219
812,29,6,,14678
813,96,1,,99
814,56,2,,4219
815,17,4,,11979
816,1,4,,11979
817,45,2,,4220
818,14,3,,9937
819,29,1,,100
820,60,2,,4220
821,18,1,,101
822,57,6,HEALTHCARE,14678
823,15,1,,102
824,2,2,,4221
825,41,3,,9938
826,18,2,,4221
827,9,3,,9938
828,12,3,,9938
829,18,3,,9939
830,6,1,,103
831,40,2,,4222
832,58,2,,4222
833,45,3,,9939
834,55,2,,4223
835,6,2,,4223
836,21,3,,9939
837,66,3,,9940
838,50,4,,11980
839,44,6,INFORMATION,14678
840,61,2,,4224
841,22,2,,4224
842,41,6,,14678
843,66,2,,4225
844,31,5,,13785
845,56,4,,11980
846,26,4,,11980
847,1,1,,104
848,55,4,,11980
849,42,4,,11981
850,79,4,,11981
851,27,2,,4225
852,71,5,,13786
853,13,2,,4226
854,75,5,,13786
855,69,3,,9940
856,80,5,,13786
857,30,4,,11981
858,49,3,,9940
859,47,2,,4226
860,22,6,,14679
861,53,6,FINANCEINSURANCE,14679
862,48,3,HEALTHCARE,9941
863,39,3,,9941
864,32,4,,11981
865,50,6,,14679
866,79,2,,4227
867,37,4,,11982
868,64,6,,14679
869,83,2,,4227
870,45,4,,11982
871,46,4,,11982
872,66,5,,13786
873,44,2,,4228
874,48,3,,9941
875,18,2,,4228
876,22,5,SCIENTIFICTECHNICAL,13786
877,44,4,,11982
878,18,2,FOOD,4229
879,21,2,HEALTHCARE,4229
880,64,2,,4230
881,56,4,,11983
882,36,4,SCIENTIFICTECHNICAL,11983
883,25,2,FOOD,4230
884,58,2,,4231
885,19,2,,4231
886,43,5,HEALTHCARE,13787
887,67,2,,4232
888,20,2,WASTEMANAGEMENT,4232
889,9,2,,4233
890,28,2,HEALTHCARE,4233
891,20,2,,4234
892,28,2,,4234
893,66,2,,4235
894,46,2,,4235
895,0,2,,4236
896,79,4,,11983
897,16,2,,4236
898,30,4,,11983
899,61,6,,14679
900,60,1,,105
901,17,3,,9942
902,44,3,,9942
903,85,3,,9942
904,72,2,,4237
905,24,2,,4237
906,59,4,,11984
907,32,2,,4238
908,42,3,,9943
909,6,3,,9943
910,68,2,,4238
911,72,2,,4239
912,77,4,,11984
913,65,2,,4239
914,10,5,,13787
915,24,3,,9943
916,2,2,,4240
917,12,2,,4240
918,75,4,,11984
919,40,3,,9944
920,29,4,,11984
921,18,4,HEALTHCARE,11985
922,22,5,,13787
923,53,5,,13787
924,83,3,,9944
925,15,2,,4241
926,87,2,,4241
927,42,5,,13787
928,55,2,,4242
929,67,4,,11985
930,29,1,,106
931,9,4,,11985
932,11,1,,107
933,57,4,SCIENTIFICTECHNICAL,11985
934,54,2,,4242
935,60,5,,13788
936,35,2,,4243
937,18,3,,9944
938,46,1,,108
939,54,1,,109
940,22,5,,13788
941,14,3,,9945
942,65,2,,4243
943,15,6,,14679
944,15,3,,9945
945,2,5,,13788
946,69,6,,14680
947,30,3,,9945
948,33,2,,4244
949,57,2,HEALTHCARE,4244
950,22,3,,9946
951,68,4,,11986
952,25,1,HEALTHCARE,110
953,69,3,,9946
954,45,5,HEALTHCARE,13788
955,74,6,,14680
956,77,4,,11986
957,13,2,,4245
958,28,5,,13788
959,13,4,,11986
960,50,1,FINANCEINSURANCE,111
961,27,3,,9946
962,5,4,,11986
963,2,4,,11987
964,62,3,,9947
965,54,2,,4245
966,5,4,,11987
967,2,2,,4246
968,96,4,,11987
969,29,2,,4246
970,52,5,,13789
971,17,3,,9947
972,0,5,,13789
973,51,2,,4247
974,75,5,,13789
975,16,1,,112
976,21,5,FOOD,13789
977,3,2,,4247
978,19,6,,14680
979,63,2,,4248
980,23,2,,4248
981,13,5,,13789
982,45,2,,4249
983,34,1,,113
984,55,4,FOOD,11987
985,32,2,,4249
986,21,6,HEALTHCARE,14680
987,48,1,,114
988,7,5,,13790
989,34,2,FINANCEINSURANCE,4250
990,74,5,,13790
991,25,2,,4250
992,59,5,,13790
993,4,3,,9947
994,43,4,,11988
995,13,2,,4251
996,23,4,,11988
997,76,4,,11988
998,68,3,,9948
999,43,2,,4251
1000,41,2,FOOD,4252
1001,96,4,,11988
1002,36,2,,4252
