ID,Age,Household Size,Occupations
1,30,2,Unemployed
2,6,6,
3,75,3,
4,32,6,HEALTHCARE
5,62,3,Unemployed
6,12,6,
7,64,1,Unemployed
8,62,4,Unemployed
9,52,1,Unemployed
10,36,5,Unemployed
11,13,2,
12,31,5,Unemployed
13,73,2,
14,54,5,Unemployed
15,20,2,Unemployed
16,59,5,Unemployed
17,35,5,Unemployed
18,57,3,Unemployed
19,32,1,Unemployed
20,44,6,Unemployed
21,80,1,
22,7,6,
23,55,3,Unemployed
24,60,2,Unemployed
25,75,4,
26,76,4,
27,5,2,
28,55,3,OTHER
29,61,5,HEALTHCARE
30,36,5,OTHER
31,45,4,Unemployed
32,92,6,
33,36,4,Unemployed
34,25,3,Unemployed
35,71,1,
36,11,3,
37,12,5,
38,3,6,
39,23,4,Unemployed
40,24,2,Unemployed
41,30,1,Unemployed
42,56,2,Unemployed
43,10,2,
44,23,4,Unemployed
45,24,5,Unemployed
46,8,1,
47,97,1,
48,11,2,
49,52,2,Unemployed
50,67,3,
51,73,2,
52,31,2,Unemployed
53,42,2,Unemployed
54,67,2,
55,37,3,Unemployed
56,40,5,Unemployed
57,50,2,Unemployed
58,42,5,Unemployed
59,60,4,Unemployed
60,49,4,Unemployed
61,5,2,
62,39,4,Unemployed
63,11,1,
64,19,5,Unemployed
65,59,5,Unemployed
66,6,5,
67,19,2,Unemployed
68,22,4,Unemployed
69,14,2,
70,51,6,Unemployed
71,58,4,HEALTHCARE
72,39,2,Unemployed
73,31,2,Unemployed
74,66,2,
75,29,3,Unemployed
76,60,4,Unemployed
77,28,5,Unemployed
78,55,2,Unemployed
79,10,5,
80,20,2,HEALTHCARE
81,16,5,
82,63,6,Unemployed
83,14,5,
84,1,3,
85,66,2,
86,16,2,
87,8,5,
88,53,2,INFORMATION
89,17,4,
90,55,6,Unemployed
91,31,1,Unemployed
92,33,5,HEALTHCARE
93,83,4,
94,75,4,
95,39,2,Unemployed
96,24,2,HEALTHCARE
97,54,6,Unemployed
98,71,2,
99,40,2,Unemployed
100,82,5,
101,23,5,Unemployed
102,30,1,Unemployed
103,28,6,HEALTHCARE
104,36,5,Unemployed
105,54,5,Unemployed
106,34,2,Unemployed
107,0,2,
108,30,2,HEALTHCARE
109,39,5,Unemployed
110,10,5,
111,31,1,Unemployed
112,58,1,Unemployed
113,57,4,Unemployed
114,20,4,Unemployed
115,9,4,
116,69,1,
117,45,4,OTHER
118,42,4,Unemployed
119,55,6,Unemployed
120,88,2,
121,54,1,Unemployed
122,3,4,
123,26,2,HEALTHCARE
124,6,2,
125,6,5,
126,12,4,
127,24,4,Unemployed
128,8,4,
129,55,3,Unemployed
130,14,4,
131,47,1,Unemployed
132,75,3,
133,39,2,Unemployed
134,64,2,Unemployed
135,21,3,OTHER
136,61,3,Unemployed
137,79,2,
138,83,2,
139,65,1,Unemployed
140,11,4,
141,14,2,
142,88,1,
143,5,2,
144,32,5,Unemployed
145,62,3,Unemployed
146,65,2,Unemployed
147,29,3,OTHER
148,12,2,
149,65,2,Unemployed
150,25,2,Unemployed
151,43,2,HEALTHCARE
152,14,1,
153,51,2,Unemployed
154,45,4,Unemployed
155,31,5,Unemployed
156,28,2,Unemployed
157,37,3,OTHER
158,5,4,
159,54,3,Unemployed
160,64,1,Unemployed
161,24,4,Unemployed
162,58,6,Unemployed
163,47,2,HEALTHCARE
164,58,5,Unemployed
165,62,4,Unemployed
166,13,6,
167,77,6,
168,79,2,
169,12,3,
170,0,4,
171,29,4,Unemployed
172,64,5,Unemployed
173,40,1,Unemployed
174,88,2,
175,35,2,Unemployed
176,46,6,Unemployed
177,54,3,Unemployed
178,97,4,
179,60,3,Unemployed
180,25,1,Unemployed
181,67,4,
182,63,4,HEALTHCARE
183,36,6,Unemployed
184,5,1,
185,67,2,
186,65,3,Unemployed
187,99,5,
188,8,4,
189,96,3,
190,58,1,Unemployed
191,63,1,Unemployed
192,11,2,
193,74,6,
194,73,6,
195,91,3,
196,10,1,
197,69,2,
198,61,4,Unemployed
199,32,2,Unemployed
200,0,2,
201,14,5,
202,32,5,Unemployed
203,1,4,
204,31,2,Unemployed
205,25,6,Unemployed
206,77,2,
207,7,2,
208,59,1,Unemployed
209,62,4,Unemployed
210,28,3,Unemployed
211,97,3,
212,29,5,Unemployed
213,0,3,
214,34,1,Unemployed
215,23,5,Unemployed
216,3,5,
217,71,4,
218,6,2,
219,45,2,Unemployed
220,67,4,
221,26,1,INFORMATION
222,61,4,Unemployed
223,22,3,Unemployed
224,17,2,
225,67,1,
226,4,1,
227,6,2,
228,0,2,
229,65,3,Unemployed
230,22,2,HEALTHCARE
231,69,3,
232,6,2,
233,87,2,
234,58,3,Unemployed
235,55,2,Unemployed
236,65,2,Unemployed
237,53,4,Unemployed
238,58,3,Unemployed
239,55,4,Unemployed
240,10,4,
241,41,2,Unemployed
242,53,2,Unemployed
243,28,5,Unemployed
244,17,2,
245,4,4,
246,23,2,Unemployed
247,15,2,
248,4,2,
249,85,2,
