ID,Age,Household Size,Occupations
1,26,3,Unemployed
2,29,6,Unemployed
3,13,4,
4,3,6,
5,62,3,Unemployed
6,44,2,HEALTHCARE
7,19,2,Unemployed
8,47,5,HEALTHCARE
9,68,3,
10,31,3,Unemployed
11,14,2,
12,57,4,Unemployed
13,9,4,
14,62,3,Unemployed
15,13,2,
16,51,3,HEALTHCARE
17,49,1,EDUCATION
18,76,3,
19,2,4,
20,75,1,
21,97,6,
22,28,3,Unemployed
23,62,2,Unemployed
24,34,2,Unemployed
25,79,4,
26,0,6,
27,43,3,Unemployed
28,43,5,Unemployed
29,67,2,
30,60,5,Unemployed
31,54,6,Unemployed
32,6,6,
33,61,4,Unemployed
34,9,6,
35,54,2,Unemployed
36,23,3,Unemployed
37,47,2,Unemployed
38,10,3,
39,11,3,
40,14,1,
41,50,2,FOOD
42,7,2,
43,1,6,
44,75,1,
45,48,1,Unemployed
46,25,6,Unemployed
47,64,2,FOOD
48,67,4,
49,63,4,Unemployed
50,30,5,Unemployed
51,3,2,
52,63,5,Unemployed
53,46,1,Unemployed
54,0,2,
55,43,5,OTHER
56,52,2,Unemployed
57,61,2,Unemployed
58,40,3,Unemployed
59,19,2,Unemployed
60,21,2,OTHER
61,39,2,Unemployed
62,36,2,HEALTHCARE
63,77,4,
64,53,2,Unemployed
65,45,4,Unemployed
66,34,2,UTILITIES
67,14,2,
68,40,6,FINANCEINSURANCE
69,33,4,HEALTHCARE
70,13,1,
71,4,2,
72,51,2,Unemployed
73,27,1,Unemployed
74,62,4,FOOD
75,68,2,
76,47,5,Unemployed
77,39,2,HEALTHCARE
78,22,3,Unemployed
79,4,6,
80,57,4,Unemployed
81,49,3,Unemployed
82,6,3,
83,26,1,Unemployed
84,58,2,Unemployed
85,61,2,Unemployed
86,13,3,
87,56,2,Unemployed
88,4,3,
89,17,1,
90,89,2,
91,19,5,Unemployed
92,43,4,Unemployed
93,32,1,Unemployed
94,70,2,
95,13,2,
96,6,6,
97,26,3,SCIENTIFICTECHNICAL
98,50,4,HEALTHCARE
99,33,2,Unemployed
100,48,6,Unemployed
101,81,2,
102,9,5,
103,30,5,Unemployed
104,95,4,
105,1,4,
106,10,5,
107,67,1,
108,57,1,WASTEMANAGEMENT
109,77,2,
110,65,4,Unemployed
111,48,2,Unemployed
112,22,1,Unemployed
113,3,2,
114,61,6,Unemployed
115,49,2,Unemployed
116,65,2,Unemployed
117,15,5,
118,69,6,
119,51,4,Unemployed
120,66,3,
