ID,Age,Household Size,Occupations
1,32,6,Unemployed
2,47,3,Unemployed
3,4,4,
4,28,3,Unemployed
5,19,6,Unemployed
6,20,4,Unemployed
7,23,3,FOOD
8,2,4,
9,8,5,
10,88,4,
11,53,3,Unemployed
12,2,5,
13,30,1,Unemployed
14,44,2,HEALTHCARE
15,23,4,Unemployed
16,64,2,Unemployed
17,37,5,Unemployed
18,63,3,Unemployed
19,30,4,SCIENTIFICTECHNICAL
20,16,5,
21,46,2,Unemployed
22,41,4,Unemployed
23,53,2,Unemployed
24,45,4,Unemployed
25,77,4,
26,13,2,
27,24,6,Unemployed
28,36,4,Unemployed
29,12,6,
30,44,3,HEALTHCARE
31,53,3,Unemployed
32,70,4,
33,34,2,Unemployed
34,31,6,Unemployed
35,76,2,
36,33,3,Unemployed
37,28,3,Unemployed
38,6,4,
39,45,4,Unemployed
40,15,6,
41,0,4,
42,78,4,
43,13,6,
44,55,2,SCIENTIFICTECHNICAL
45,60,2,WASTEMANAGEMENT
46,62,2,Unemployed
47,34,4,Unemployed
48,61,1,Unemployed
49,16,2,
50,13,2,
51,38,4,Unemployed
52,12,5,
53,8,1,
54,29,2,Unemployed
55,40,4,Unemployed
56,87,2,
57,72,3,
58,31,2,Unemployed
59,41,2,Unemployed
60,2,5,
61,3,3,
62,41,2,Unemployed
63,66,2,
64,31,5,OTHER
65,72,4,
66,2,4,
67,21,1,Unemployed
68,39,3,Unemployed
69,3,1,
70,54,3,Unemployed
71,18,4,FOOD
72,39,2,Unemployed
73,2,4,
74,15,6,
75,4,5,
76,74,3,
77,59,2,Unemployed
78,16,4,
79,75,3,
80,21,4,Unemployed
81,25,6,Unemployed
82,69,4,
83,49,3,Unemployed
84,77,5,
85,5,2,
86,39,6,Unemployed
87,18,4,HEALTHCARE
88,23,6,Unemployed
89,44,2,Unemployed
90,66,2,
91,8,5,
92,31,2,Unemployed
93,50,4,Unemployed
94,53,4,HEALTHCARE
95,1,2,
96,7,2,
97,51,1,FOOD
98,45,5,Unemployed
99,52,6,Unemployed
100,44,4,FOOD
101,11,4,
102,8,5,
103,58,4,Unemployed
104,44,2,Unemployed
105,56,6,Unemployed
106,60,1,Unemployed
107,5,4,
108,28,3,REALESTATERENTAL
109,35,3,Unemployed
110,36,2,FOOD
111,9,3,
112,1,2,
113,9,3,
114,35,2,Unemployed
115,1,2,
116,61,6,Unemployed
117,5,6,
118,68,4,
119,41,3,Unemployed
120,44,5,Unemployed
121,11,3,
122,40,2,Unemployed
123,7,5,
124,59,2,FOOD
125,24,3,Unemployed
126,18,4,Unemployed
127,36,2,Unemployed
128,44,5,Unemployed
129,38,5,Unemployed
130,27,4,Unemployed
131,15,5,
132,56,6,Unemployed
133,52,5,Unemployed
134,30,1,Unemployed
135,30,2,Unemployed
136,28,6,Unemployed
137,35,2,HEALTHCARE
138,31,4,Unemployed
139,46,2,Unemployed
140,58,4,Unemployed
141,53,5,Unemployed
142,13,2,
143,26,1,Unemployed
144,21,4,Unemployed
145,45,5,Unemployed
146,27,2,Unemployed
147,8,3,
