ID,Age,Household Size,Occupations
1,49,3,HEALTHCARE
2,21,2,HEALTHCARE
3,40,3,WASTEMANAGEMENT
4,11,5,
5,21,4,Unemployed
6,12,5,
7,5,5,
8,38,2,Unemployed
9,44,5,Unemployed
10,5,2,
11,54,1,WASTEMANAGEMENT
12,15,4,
13,18,3,HEALTHCARE
14,54,3,Unemployed
15,14,1,
16,33,4,Unemployed
17,31,4,Unemployed
18,64,2,Unemployed
19,59,2,Unemployed
20,18,2,Unemployed
21,49,3,Unemployed
22,54,2,Unemployed
23,62,5,FINANCEINSURANCE
24,33,2,SCIENTIFICTECHNICAL
25,45,3,Unemployed
26,97,4,
27,71,5,
28,47,3,Unemployed
29,69,6,
30,8,2,
31,33,1,HEALTHCARE
32,56,5,Unemployed
33,66,2,
34,63,4,Unemployed
35,18,1,Unemployed
36,24,6,Unemployed
37,58,4,Unemployed
38,42,3,Unemployed
39,39,4,Unemployed
40,14,4,
41,3,1,
42,7,3,
43,75,4,
44,45,4,FOOD
45,50,2,Unemployed
46,50,3,Unemployed
47,28,4,Unemployed
48,43,4,EDUCATION
49,46,2,Unemployed
50,53,4,Unemployed
51,41,4,Unemployed
52,66,3,
53,13,3,
54,52,3,EDUCATION
55,60,4,Unemployed
56,19,4,FOOD
57,59,2,Unemployed
58,47,4,HEALTHCARE
59,56,2,Unemployed
60,26,2,Unemployed
61,25,6,Unemployed
62,30,4,Unemployed
63,63,4,Unemployed
64,87,4,
65,79,2,
66,66,4,
67,52,1,HEALTHCARE
68,44,5,Unemployed
69,61,2,FOOD
70,2,1,
71,42,4,SCIENTIFICTECHNICAL
72,41,3,Unemployed
73,50,4,SCIENTIFICTECHNICAL
74,35,5,SCIENTIFICTECHNICAL
75,94,6,
76,86,3,
77,3,1,
78,17,5,
79,2,3,
80,37,1,HEALTHCARE
81,60,4,FINANCEINSURANCE
82,65,3,Unemployed
83,73,3,
84,23,2,Unemployed
85,58,5,HEALTHCARE
86,1,4,
87,18,3,SCIENTIFICTECHNICAL
88,7,3,
89,32,2,Unemployed
90,70,5,
91,57,4,SCIENTIFICTECHNICAL
92,66,4,
93,47,4,Unemployed
94,2,3,
95,0,2,
96,6,3,
97,43,3,Unemployed
98,4,5,
99,24,2,Unemployed
100,6,3,
101,74,5,
102,2,4,
103,73,4,
104,32,5,Unemployed
105,100,5,
106,68,3,
107,59,2,Unemployed
108,40,4,Unemployed
109,31,3,Unemployed
110,62,1,REALESTATERENTAL
111,46,4,FINANCEINSURANCE
112,5,5,
113,53,2,Unemployed
114,45,1,SCIENTIFICTECHNICAL
115,48,2,HEALTHCARE
116,50,4,Unemployed
117,38,3,HEALTHCARE
118,19,3,Unemployed
119,63,4,Unemployed
120,0,3,
121,70,3,
122,66,4,
123,49,5,FOOD
124,51,5,HEALTHCARE
125,10,5,
126,53,6,Unemployed
127,58,2,Unemployed
128,9,5,
129,34,2,HEALTHCARE
130,32,5,Unemployed
131,49,2,FOOD
132,96,4,
133,55,3,ART
134,15,4,
135,20,4,Unemployed
136,79,2,
137,44,2,Unemployed
138,3,3,
139,54,2,Unemployed
140,35,1,Unemployed
141,50,2,Unemployed
142,18,3,Unemployed
143,57,2,HEALTHCARE
144,55,2,Unemployed
145,48,2,HEALTHCARE
146,68,2,
147,41,5,Unemployed
148,77,6,
149,33,6,Unemployed
150,45,4,Unemployed
151,14,2,
152,57,5,Unemployed
153,51,3,Unemployed
154,10,4,
155,48,4,Unemployed
156,28,1,Unemployed
157,50,4,SCIENTIFICTECHNICAL
158,54,4,HEALTHCARE
159,66,2,
160,54,2,Unemployed
161,22,5,Unemployed
162,40,4,Unemployed
163,53,4,Unemployed
164,5,4,
165,18,2,FOOD
166,8,3,
167,52,2,Unemployed
168,26,3,Unemployed
169,48,3,Unemployed
170,47,4,REALESTATERENTAL
171,39,2,HEALTHCARE
172,37,4,HEALTHCARE
173,64,3,SCIENTIFICTECHNICAL
174,53,2,FOOD
175,58,4,Unemployed
176,38,3,HEALTHCARE
177,5,5,
178,1,4,
179,93,6,
180,19,6,FOOD
181,64,4,HEALTHCARE
182,32,4,FOOD
183,17,2,
184,23,2,Unemployed
185,39,1,Unemployed
186,12,1,
187,35,5,FINANCEINSURANCE
188,39,2,Unemployed
189,35,4,Unemployed
190,54,3,FOOD
