ID,Age,Household Size,Occupations
1,8,1,
2,36,2,INFORMATION
3,94,5,
4,57,1,Unemployed
5,50,5,Unemployed
6,5,2,
7,12,2,
8,40,1,FOOD
9,35,3,Unemployed
10,18,2,FOOD
11,35,2,HEALTHCARE
12,4,5,
13,34,2,Unemployed
14,53,1,Unemployed
15,58,5,FOOD
16,40,6,HEALTHCARE
17,59,4,Unemployed
18,28,1,Unemployed
19,47,2,Unemployed
20,1,2,
21,2,2,
22,16,2,
23,11,6,
24,10,2,
25,49,2,ART
26,68,2,
27,39,2,Unemployed
28,57,5,FOOD
29,37,1,FINANCEINSURANCE
30,24,1,Unemployed
31,76,1,
32,1,2,
33,26,2,Unemployed
34,67,5,
35,10,6,
36,64,1,Unemployed
37,41,5,FOOD
38,72,3,
39,2,5,
40,57,6,FINANCEINSURANCE
41,62,2,Unemployed
42,51,4,Unemployed
43,24,5,HEALTHCARE
44,29,2,FOOD
45,47,2,Unemployed
46,33,6,HEALTHCARE
47,47,1,HEALTHCARE
48,26,2,Unemployed
49,23,2,FOOD
50,51,1,Unemployed
51,37,5,HEALTHCARE
52,5,4,
53,56,4,FOOD
54,45,3,Unemployed
55,27,2,Unemployed
56,18,3,Unemployed
57,35,3,Unemployed
58,19,5,OTHER
59,25,3,Unemployed
60,0,2,
61,85,5,
62,41,3,Unemployed
63,40,2,Unemployed
64,74,2,
65,95,5,
66,13,5,
67,24,2,HEALTHCARE
68,32,2,Unemployed
69,20,6,FOOD
70,2,5,
71,73,3,
72,5,2,
73,58,2,HEALTHCARE
74,15,4,
75,20,6,FOOD
76,64,3,FINANCEINSURANCE
77,94,3,
78,1,2,
79,3,2,
80,36,4,Unemployed
81,9,5,
82,35,6,HEALTHCARE
83,59,2,Unemployed
84,62,2,HEALTHCARE
85,66,2,
86,73,3,
87,55,4,SCIENTIFICTECHNICAL
88,59,5,Unemployed
89,13,2,
90,2,4,
91,33,3,Unemployed
92,19,4,FOOD
93,7,2,
94,32,5,Unemployed
95,33,3,Unemployed
96,67,4,
97,64,1,Unemployed
98,60,2,Unemployed
99,8,5,
100,50,2,Unemployed
101,46,4,Unemployed
102,7,2,
103,19,4,Unemployed
104,67,1,
105,18,2,Unemployed
106,9,4,
107,45,1,Unemployed
108,26,1,Unemployed
109,73,2,
110,43,2,FOOD
111,9,3,
112,93,4,
113,57,5,Unemployed
114,31,2,Unemployed
115,55,4,Unemployed
116,71,3,
117,11,2,
118,53,3,INFORMATION
119,5,1,
120,33,4,Unemployed
121,49,5,Unemployed
122,43,4,REALESTATERENTAL
123,56,2,Unemployed
124,39,3,Unemployed
125,59,4,Unemployed
126,50,2,Unemployed
127,34,2,Unemployed
128,77,2,
129,4,5,
130,69,4,
131,51,5,Unemployed
132,33,1,HEALTHCARE
133,62,3,HEALTHCARE
134,17,6,
135,64,4,Unemployed
136,60,4,Unemployed
137,13,4,
138,18,4,FOOD
139,79,1,
140,65,2,Unemployed
141,46,4,INFORMATION
142,19,4,Unemployed
143,4,2,
144,45,5,FOOD
145,10,3,
146,9,2,
147,25,6,Unemployed
148,19,5,Unemployed
149,39,2,Unemployed
150,58,1,Unemployed
151,67,2,
152,36,2,Unemployed
153,43,2,FINANCEINSURANCE
154,55,3,Unemployed
155,12,6,
156,78,2,
157,17,4,
158,64,3,Unemployed
159,72,1,
160,21,5,Unemployed
161,0,6,
162,73,1,
163,47,2,Unemployed
164,65,2,Unemployed
165,46,3,Unemployed
166,4,2,
167,32,2,OTHER
168,65,3,Unemployed
169,16,2,
170,10,4,
171,92,2,
172,76,1,
173,10,2,
174,61,2,Unemployed
175,34,3,Unemployed
176,71,3,
177,51,2,Unemployed
178,79,3,
179,27,2,Unemployed
180,26,2,HEALTHCARE
181,58,4,Unemployed
182,50,2,Unemployed
183,14,3,
184,15,2,
185,34,3,Unemployed
186,12,6,
187,21,6,Unemployed
188,46,4,Unemployed
189,59,2,Unemployed
190,7,4,
191,61,2,Unemployed
192,15,2,
193,67,2,
194,40,2,Unemployed
195,5,4,
196,71,4,
197,49,1,HEALTHCARE
198,6,2,
199,79,3,
200,13,1,
201,16,2,
202,80,6,
203,41,4,Unemployed
204,39,1,Unemployed
205,75,2,
206,20,2,HEALTHCARE
207,18,4,Unemployed
208,60,3,Unemployed
209,34,2,Unemployed
210,57,3,Unemployed
211,7,4,
212,4,4,
213,69,5,
214,44,3,Unemployed
