ID,Age,Household Size,Occupations
1,73,2,
2,55,2,Unemployed
3,33,2,Unemployed
4,56,1,Unemployed
5,45,2,Unemployed
6,2,4,
7,61,3,Unemployed
8,40,3,HEALTHCARE
9,5,3,
10,80,4,
11,8,4,
12,30,1,Unemployed
13,66,2,
14,47,1,Unemployed
15,35,2,Unemployed
16,29,1,Unemployed
17,14,5,
18,46,4,Unemployed
19,52,4,HEALTHCARE
20,54,2,Unemployed
21,6,4,
22,99,1,
23,9,4,
24,46,3,Unemployed
25,87,4,
26,37,6,Unemployed
27,37,5,Unemployed
28,93,3,
29,7,2,
30,21,1,HEALTHCARE
31,58,3,Unemployed
32,55,4,Unemployed
33,57,1,HEALTHCARE
34,17,3,
35,34,2,Unemployed
36,17,1,
37,54,2,Unemployed
38,65,3,Unemployed
39,24,2,Unemployed
40,44,3,Unemployed
41,14,6,
42,26,2,Unemployed
43,40,2,Unemployed
44,1,5,
45,69,2,
46,36,6,Unemployed
47,28,3,Unemployed
48,38,2,Unemployed
49,92,2,
50,93,1,
51,50,3,HEALTHCARE
52,95,3,
53,23,1,Unemployed
54,19,2,Unemployed
55,11,6,
56,4,2,
57,98,1,
58,81,1,
59,42,6,Unemployed
60,12,3,
61,10,3,
62,52,2,Unemployed
63,22,3,Unemployed
64,32,2,Unemployed
65,3,6,
66,16,6,
67,12,5,
68,4,5,
69,68,1,
70,19,2,Unemployed
71,30,3,HEALTHCARE
72,27,2,Unemployed
73,51,6,HEALTHCARE
74,97,2,
75,45,4,Unemployed
76,7,4,
77,45,5,Unemployed
78,1,5,
79,90,2,
80,6,3,
81,16,1,
82,45,1,Unemployed
83,67,3,
84,76,2,
85,60,5,Unemployed
86,50,3,Unemployed
87,54,2,Unemployed
88,38,3,Unemployed
89,98,2,
90,66,2,
91,69,2,
92,56,2,HEALTHCARE
93,49,1,Unemployed
94,47,2,Unemployed
95,43,4,Unemployed
96,37,4,Unemployed
97,86,2,
98,72,4,
99,21,5,Unemployed
100,31,1,Unemployed
101,69,1,
102,36,3,Unemployed
103,66,2,
104,12,4,
105,61,5,Unemployed
106,35,2,Unemployed
107,68,3,
108,90,2,
109,34,2,Unemployed
110,12,1,
111,96,4,
112,29,6,Unemployed
113,51,3,Unemployed
114,7,4,
115,16,4,
116,67,3,
117,64,1,HEALTHCARE
118,28,4,HEALTHCARE
119,40,4,HEALTHCARE
120,41,6,Unemployed
121,9,3,
122,44,1,Unemployed
123,57,2,Unemployed
124,25,4,Unemployed
125,5,2,
126,66,3,
127,36,1,Unemployed
128,38,2,Unemployed
129,50,2,Unemployed
130,51,5,Unemployed
131,19,1,Unemployed
132,12,2,
133,27,2,Unemployed
134,26,3,Unemployed
135,32,4,Unemployed
136,64,5,Unemployed
137,18,3,Unemployed
138,11,3,
139,54,2,HEALTHCARE
140,69,2,
141,51,2,Unemployed
142,32,3,Unemployed
143,77,2,
144,3,5,
145,70,4,
146,33,1,Unemployed
147,75,2,
148,15,4,
149,15,2,
150,17,2,
151,63,5,Unemployed
152,43,1,Unemployed
153,77,2,
154,71,2,
155,53,5,Unemployed
156,66,2,
157,62,5,Unemployed
158,54,2,Unemployed
159,27,4,Unemployed
160,29,4,Unemployed
161,18,3,Unemployed
162,53,5,Unemployed
163,62,2,Unemployed
164,16,5,
165,3,1,
166,25,2,Unemployed
167,57,4,Unemployed
168,21,4,Unemployed
169,61,2,Unemployed
170,16,5,
171,70,5,
172,80,4,
173,33,5,Unemployed
174,52,2,Unemployed
175,36,3,FOOD
176,19,2,Unemployed
177,30,5,Unemployed
178,11,3,
179,2,5,
180,35,1,Unemployed
181,46,3,Unemployed
182,74,1,
183,30,2,FOOD
184,35,2,Unemployed
185,57,1,Unemployed
186,10,5,
187,67,4,
188,10,5,
189,67,3,
190,19,4,Unemployed
191,32,2,Unemployed
192,53,3,HEALTHCARE
193,68,2,
194,63,2,Unemployed
195,29,2,Unemployed
196,31,3,Unemployed
197,99,1,
198,45,1,Unemployed
199,69,3,
200,61,2,Unemployed
201,3,5,
202,24,5,OTHER
203,44,2,Unemployed
204,57,2,Unemployed
205,90,2,
206,73,2,
207,55,1,Unemployed
208,46,3,FOOD
209,59,1,Unemployed
210,9,5,
211,31,4,Unemployed
212,4,2,
213,12,6,
214,39,5,Unemployed
215,54,2,Unemployed
216,74,2,
217,16,5,
218,27,5,Unemployed
219,32,6,Unemployed
220,37,4,Unemployed
221,48,1,Unemployed
222,64,1,HEALTHCARE
223,30,5,Unemployed
224,59,1,Unemployed
225,44,2,Unemployed
226,82,2,
227,84,5,
228,63,3,Unemployed
229,34,1,Unemployed
230,23,4,Unemployed
231,17,2,
232,47,4,Unemployed
233,62,2,Unemployed
234,72,5,
235,26,2,Unemployed
236,15,2,
237,14,3,
238,31,5,Unemployed
239,39,5,Unemployed
240,39,1,Unemployed
241,59,2,Unemployed
242,61,2,HEALTHCARE
243,45,2,Unemployed
244,9,2,
245,55,2,Unemployed
246,68,4,
247,45,2,Unemployed
248,1,1,
249,68,2,
250,55,3,Unemployed
251,43,2,HEALTHCARE
252,46,2,HEALTHCARE
253,67,4,
254,70,3,
255,81,1,
256,58,2,Unemployed
257,56,2,Unemployed
258,10,2,
259,19,2,Unemployed
260,97,5,
261,19,3,Unemployed
262,63,2,Unemployed
263,60,2,Unemployed
264,31,1,Unemployed
265,67,4,
266,59,2,Unemployed
267,69,2,
268,18,3,Unemployed
269,85,3,
270,63,2,Unemployed
271,49,3,Unemployed
272,21,2,Unemployed
273,34,1,Unemployed
274,36,4,Unemployed
275,35,5,Unemployed
276,27,3,Unemployed
277,30,5,HEALTHCARE
278,9,2,
279,27,2,Unemployed
280,0,2,
281,61,2,Unemployed
282,50,2,Unemployed
283,59,5,Unemployed
284,0,4,
285,99,2,
286,16,2,
287,26,2,FOOD
288,26,1,Unemployed
289,65,2,Unemployed
290,65,2,HEALTHCARE
291,55,3,Unemployed
292,62,2,Unemployed
293,69,2,
294,34,3,Unemployed
295,29,2,FOOD
296,79,6,
297,24,4,Unemployed
298,61,2,Unemployed
299,39,3,Unemployed
300,56,1,Unemployed
301,2,3,
302,33,6,Unemployed
303,55,3,Unemployed
304,59,2,Unemployed
305,17,4,
306,78,2,
307,67,5,
308,39,2,Unemployed
309,59,2,HEALTHCARE
310,28,2,Unemployed
311,24,5,Unemployed
312,17,1,
313,50,6,Unemployed
314,16,2,
315,73,1,
316,59,2,FOOD
317,6,1,
318,58,5,Unemployed
319,68,4,
320,57,5,HEALTHCARE
321,3,2,
322,81,1,
323,57,1,HEALTHCARE
324,32,3,Unemployed
325,99,3,
326,39,3,Unemployed
327,28,3,OTHER
328,54,1,Unemployed
329,67,2,
330,52,1,Unemployed
331,17,2,
332,98,2,
333,59,2,Unemployed
334,42,4,Unemployed
335,21,2,Unemployed
336,49,3,OTHER
337,60,4,Unemployed
338,67,4,
339,21,5,HEALTHCARE
340,67,5,
341,43,1,Unemployed
342,10,3,
343,43,5,Unemployed
344,7,5,
345,67,4,
346,18,4,Unemployed
347,24,1,Unemployed
348,67,3,
349,45,4,Unemployed
350,64,3,Unemployed
351,44,1,Unemployed
352,32,2,Unemployed
353,98,4,
354,18,2,Unemployed
355,11,2,
356,60,5,Unemployed
357,98,2,
358,55,5,Unemployed
359,12,1,
360,61,1,Unemployed
361,24,3,Unemployed
362,63,2,Unemployed
363,91,4,
364,31,2,Unemployed
365,68,4,
366,51,3,Unemployed
367,59,4,Unemployed
368,21,5,Unemployed
369,42,1,Unemployed
370,9,3,
371,34,5,HEALTHCARE
372,51,3,Unemployed
373,9,6,
374,34,3,Unemployed
375,49,1,Unemployed
376,39,3,Unemployed
377,31,3,Unemployed
378,30,1,Unemployed
379,12,1,
380,60,5,Unemployed
381,68,2,
382,0,3,
383,96,6,
384,35,5,Unemployed
385,25,6,Unemployed
386,13,3,
387,56,2,Unemployed
388,58,5,Unemployed
389,20,3,Unemployed
390,30,2,OTHER
391,55,3,Unemployed
392,41,1,Unemployed
393,57,4,Unemployed
394,64,4,Unemployed
395,93,2,
396,75,1,
397,51,2,Unemployed
398,52,2,Unemployed
399,39,5,HEALTHCARE
400,50,4,HEALTHCARE
401,28,2,OTHER
402,83,2,
403,44,1,Unemployed
404,21,6,Unemployed
405,37,2,Unemployed
406,5,6,
407,76,4,
408,21,2,Unemployed
409,24,2,HEALTHCARE
410,30,5,Unemployed
411,6,1,
412,85,2,
413,53,2,Unemployed
414,39,2,FOOD
415,76,6,
416,28,2,Unemployed
417,3,2,
418,70,2,
419,52,3,Unemployed
420,46,6,Unemployed
421,6,4,
422,59,5,Unemployed
423,68,3,
424,11,4,
425,62,3,Unemployed
426,13,1,
427,48,2,Unemployed
428,37,5,Unemployed
429,6,1,
430,71,2,
431,3,3,
432,88,2,
433,55,5,Unemployed
434,21,4,HEALTHCARE
435,9,2,
436,8,3,
437,90,4,
438,23,5,Unemployed
439,47,5,Unemployed
440,30,3,Unemployed
441,48,2,Unemployed
442,48,2,HEALTHCARE
443,56,1,Unemployed
444,40,2,HEALTHCARE
445,6,3,
446,36,2,Unemployed
447,12,5,
448,18,3,Unemployed
449,58,5,Unemployed
450,56,1,REALESTATERENTAL
451,75,6,
452,98,6,
453,66,3,
454,78,6,
455,16,1,
456,72,3,
457,40,3,Unemployed
458,62,1,Unemployed
459,51,2,Unemployed
460,70,3,
461,61,1,Unemployed
462,30,2,Unemployed
463,97,5,
464,7,2,
465,54,4,Unemployed
466,90,2,
467,20,2,Unemployed
468,44,2,Unemployed
469,63,2,OTHER
470,5,5,
471,31,4,Unemployed
472,58,3,Unemployed
473,22,4,Unemployed
474,62,3,Unemployed
475,86,4,
476,48,3,Unemployed
477,40,5,HEALTHCARE
478,40,4,Unemployed
479,41,5,Unemployed
480,4,4,
481,76,2,
482,45,1,Unemployed
483,68,2,
484,13,4,
485,98,6,
486,22,6,Unemployed
487,57,4,Unemployed
488,45,4,Unemployed
489,35,4,Unemployed
490,24,3,Unemployed
491,63,1,Unemployed
492,38,1,Unemployed
493,73,1,
494,66,6,
495,72,3,
496,58,4,FINANCEINSURANCE
497,61,5,Unemployed
498,62,3,HEALTHCARE
499,58,1,Unemployed
500,90,4,
501,47,4,Unemployed
502,27,1,Unemployed
503,62,5,Unemployed
504,1,4,
505,45,2,Unemployed
506,38,6,Unemployed
507,61,2,Unemployed
508,15,4,
509,47,2,Unemployed
510,14,4,
511,8,3,
512,59,2,Unemployed
513,5,2,
514,34,4,Unemployed
515,36,5,Unemployed
516,62,2,Unemployed
517,63,5,HEALTHCARE
518,33,1,Unemployed
519,48,2,Unemployed
520,55,3,Unemployed
521,66,3,
522,97,2,
523,4,3,
524,71,4,
525,70,3,
526,86,2,
527,37,2,Unemployed
528,13,1,
529,11,2,
530,60,6,FOOD
531,49,6,Unemployed
532,94,4,
533,0,2,
534,33,1,Unemployed
535,85,3,
536,4,3,
537,78,4,
538,59,3,FOOD
539,59,5,HEALTHCARE
540,26,6,Unemployed
541,53,2,Unemployed
542,66,2,
543,71,2,
544,52,6,HEALTHCARE
545,3,2,
546,17,2,
547,36,6,Unemployed
548,38,2,Unemployed
549,25,6,Unemployed
550,75,1,
551,59,4,Unemployed
552,56,6,HEALTHCARE
553,49,3,Unemployed
554,55,4,FOOD
555,6,2,
556,65,2,WASTEMANAGEMENT
557,40,5,Unemployed
558,3,5,
559,60,2,Unemployed
560,18,1,Unemployed
561,15,2,
562,32,2,Unemployed
563,44,3,FOOD
564,24,2,Unemployed
565,25,4,Unemployed
566,1,3,
567,57,1,Unemployed
568,59,3,Unemployed
569,50,1,Unemployed
570,22,3,Unemployed
571,60,2,Unemployed
572,35,5,Unemployed
573,12,2,
574,5,2,
575,1,1,
576,60,5,HEALTHCARE
577,60,2,Unemployed
578,46,5,HEALTHCARE
579,17,2,
580,27,4,Unemployed
581,59,1,Unemployed
582,59,2,Unemployed
583,85,2,
584,11,1,
585,27,1,HEALTHCARE
586,15,4,
587,49,3,Unemployed
588,76,3,
589,0,4,
590,23,5,Unemployed
591,39,4,Unemployed
592,12,2,
593,31,4,Unemployed
594,33,3,Unemployed
595,65,5,Unemployed
596,6,5,
597,47,3,Unemployed
598,54,2,Unemployed
599,66,4,
600,36,3,FINANCEINSURANCE
601,18,2,Unemployed
602,51,3,Unemployed
603,65,4,Unemployed
604,7,4,
605,46,3,HEALTHCARE
606,73,2,
607,46,3,HEALTHCARE
608,32,3,Unemployed
609,30,2,Unemployed
610,64,5,Unemployed
611,23,2,Unemployed
612,19,6,Unemployed
613,9,2,
614,23,1,Unemployed
615,53,2,Unemployed
616,51,5,Unemployed
617,52,5,Unemployed
618,52,4,FOOD
619,41,3,Unemployed
620,36,1,Unemployed
621,21,4,Unemployed
622,7,2,
623,54,2,Unemployed
624,10,2,
625,39,6,Unemployed
626,38,1,Unemployed
627,43,5,Unemployed
628,64,2,Unemployed
629,37,5,Unemployed
630,21,5,HEALTHCARE
631,6,2,
632,65,3,Unemployed
633,48,2,Unemployed
634,1,5,
635,7,3,
636,40,3,Unemployed
637,35,2,Unemployed
638,71,3,
639,5,2,
640,67,2,
641,37,3,Unemployed
642,30,3,Unemployed
643,35,2,Unemployed
644,42,2,Unemployed
645,73,2,
646,69,6,
647,64,2,Unemployed
648,63,1,HEALTHCARE
649,19,6,Unemployed
650,22,2,Unemployed
651,58,4,Unemployed
652,6,2,
653,30,4,Unemployed
654,36,2,HEALTHCARE
655,24,2,Unemployed
656,95,3,
657,39,2,Unemployed
658,7,2,
659,3,2,
660,58,2,Unemployed
661,54,1,Unemployed
662,39,3,Unemployed
663,62,6,HEALTHCARE
664,47,2,Unemployed
665,41,2,HEALTHCARE
666,12,4,
667,45,3,Unemployed
668,34,2,Unemployed
669,24,2,Unemployed
670,65,1,OTHER
671,15,4,
672,22,5,Unemployed
673,62,1,Unemployed
674,48,4,Unemployed
675,60,1,Unemployed
676,45,2,Unemployed
677,14,4,
678,18,3,Unemployed
679,43,3,HEALTHCARE
680,62,2,Unemployed
681,5,2,
682,26,4,HEALTHCARE
683,52,1,Unemployed
684,88,4,
685,66,2,
686,69,5,
687,78,5,
688,59,6,Unemployed
689,68,2,
690,33,1,FOOD
691,32,1,Unemployed
692,75,2,
693,66,5,
694,68,2,
695,45,4,Unemployed
696,70,6,
697,47,3,HEALTHCARE
698,6,4,
699,22,4,Unemployed
700,22,5,Unemployed
701,35,2,Unemployed
702,42,3,Unemployed
703,45,3,Unemployed
704,56,3,Unemployed
705,93,1,
706,32,1,FINANCEINSURANCE
707,55,2,Unemployed
708,52,5,Unemployed
709,17,1,
710,41,2,Unemployed
711,33,4,Unemployed
712,88,5,
713,22,3,Unemployed
714,34,3,Unemployed
715,57,2,Unemployed
716,43,1,HEALTHCARE
717,32,6,Unemployed
718,76,4,
719,17,2,
720,22,5,Unemployed
721,52,2,Unemployed
722,55,1,Unemployed
723,0,5,
724,1,3,
725,28,2,Unemployed
726,55,3,Unemployed
727,58,2,Unemployed
728,55,6,Unemployed
729,13,1,
730,10,4,
731,74,3,
732,47,2,Unemployed
733,53,4,Unemployed
734,33,5,Unemployed
735,58,4,Unemployed
736,54,3,HEALTHCARE
737,53,2,Unemployed
738,65,1,HEALTHCARE
739,3,2,
740,8,3,
741,56,1,Unemployed
742,56,5,Unemployed
743,67,3,
744,13,2,
745,45,6,Unemployed
746,60,5,Unemployed
747,46,4,Unemployed
748,8,2,
749,63,5,FOOD
750,40,4,Unemployed
751,40,2,Unemployed
752,40,5,FINANCEINSURANCE
753,66,5,
754,72,4,
755,57,3,Unemployed
756,41,5,HEALTHCARE
757,88,1,
758,14,2,
759,43,3,Unemployed
760,23,2,HEALTHCARE
761,60,1,Unemployed
762,8,4,
763,11,2,
764,80,5,
765,33,3,HEALTHCARE
766,53,3,Unemployed
767,66,6,
768,51,2,Unemployed
769,63,2,Unemployed
770,59,1,Unemployed
771,14,5,
772,19,1,Unemployed
773,57,4,Unemployed
774,69,4,
775,57,3,Unemployed
776,50,5,Unemployed
777,56,2,Unemployed
778,35,3,Unemployed
779,54,3,Unemployed
780,92,1,
781,39,2,Unemployed
782,81,1,
783,40,1,Unemployed
784,70,2,
785,3,5,
786,27,4,Unemployed
787,88,6,
788,8,4,
789,82,4,
790,76,3,
791,1,2,
792,5,3,
793,64,6,Unemployed
794,86,3,
795,55,1,Unemployed
796,57,6,HEALTHCARE
797,1,3,
798,54,5,Unemployed
799,3,4,
800,69,3,
801,30,2,Unemployed
802,84,2,
803,53,3,Unemployed
804,7,3,
805,13,3,
806,29,1,Unemployed
807,83,4,
808,69,2,
809,14,6,
810,49,1,Unemployed
811,34,1,Unemployed
812,26,3,Unemployed
813,32,2,Unemployed
814,29,1,Unemployed
815,67,1,
816,39,1,Unemployed
817,99,4,
818,71,4,
819,4,4,
820,61,3,Unemployed
821,37,3,Unemployed
822,72,1,
823,60,2,Unemployed
824,53,4,HEALTHCARE
825,59,2,HEALTHCARE
826,4,3,
827,56,1,Unemployed
828,62,3,Unemployed
829,6,5,
830,49,1,Unemployed
831,19,3,Unemployed
832,45,4,Unemployed
833,44,2,Unemployed
834,66,5,
835,14,1,
836,19,1,Unemployed
837,50,1,Unemployed
838,60,2,Unemployed
839,25,5,Unemployed
840,20,2,Unemployed
841,25,5,Unemployed
842,53,1,Unemployed
843,97,4,
844,32,2,Unemployed
845,21,5,Unemployed
846,61,6,FOOD
847,70,5,
848,71,3,
849,30,3,Unemployed
850,30,4,OTHER
851,10,2,
852,1,3,
853,97,2,
854,16,4,
855,22,1,Unemployed
856,35,1,Unemployed
857,56,1,Unemployed
858,63,2,Unemployed
859,7,5,
860,60,1,Unemployed
861,62,5,Unemployed
862,0,4,
863,59,1,Unemployed
864,2,4,
865,58,1,Unemployed
866,35,5,Unemployed
867,44,1,Unemployed
868,34,2,HEALTHCARE
869,69,1,
870,98,1,
871,37,2,Unemployed
872,53,2,Unemployed
873,39,2,Unemployed
874,1,4,
875,44,2,HEALTHCARE
876,25,4,HEALTHCARE
877,0,2,
878,64,2,Unemployed
879,6,1,
880,6,5,
881,93,4,
882,90,2,
883,18,4,Unemployed
884,34,3,Unemployed
885,18,4,Unemployed
886,81,4,
887,25,1,Unemployed
888,51,6,HEALTHCARE
889,34,2,Unemployed
890,18,2,Unemployed
891,5,1,
892,79,2,
893,87,2,
894,6,2,
895,38,4,Unemployed
896,62,4,HEALTHCARE
897,63,4,Unemployed
898,47,3,Unemployed
899,23,1,Unemployed
900,24,5,Unemployed
901,9,3,
902,27,2,Unemployed
903,68,2,
904,72,2,
905,6,4,
906,13,4,
907,3,4,
908,8,1,
909,40,2,HEALTHCARE
910,67,3,
911,8,2,
912,29,1,Unemployed
913,9,2,
914,88,1,
915,35,2,Unemployed
