ID,Age,Household Size,Occupations
1,7,5,
2,85,3,
3,73,4,
4,61,4,Unemployed
5,6,5,
6,62,3,FOOD
7,27,2,Unemployed
8,47,3,Unemployed
9,79,6,
10,22,3,Unemployed
11,25,6,Unemployed
12,70,5,
13,44,4,HEALTHCARE
14,25,2,Unemployed
15,13,6,
16,7,1,
17,52,2,HEALTHCARE
18,67,5,
19,28,4,Unemployed
20,28,2,Unemployed
21,59,2,Unemployed
22,38,6,HEALTHCARE
23,58,3,Unemployed
24,48,6,Unemployed
25,54,5,Unemployed
26,45,5,Unemployed
27,44,1,Unemployed
28,62,1,Unemployed
29,29,1,Unemployed
30,70,1,
31,84,2,
32,10,2,
33,67,6,
34,44,2,Unemployed
35,7,2,
36,38,5,Unemployed
37,39,5,Unemployed
38,44,4,Unemployed
39,20,2,Unemployed
40,47,2,Unemployed
41,34,2,HEALTHCARE
42,65,2,Unemployed
43,44,2,REALESTATERENTAL
44,48,6,Unemployed
45,19,2,Unemployed
46,36,6,Unemployed
47,51,1,Unemployed
48,24,1,Unemployed
49,44,3,HEALTHCARE
50,97,1,
51,35,4,Unemployed
52,35,5,Unemployed
53,29,4,HEALTHCARE
54,21,4,Unemployed
55,62,4,HEALTHCARE
56,55,2,Unemployed
57,8,2,
58,14,2,
59,54,5,Unemployed
60,5,1,
61,29,2,Unemployed
62,12,6,
63,69,5,
64,34,4,Unemployed
65,61,4,Unemployed
66,48,2,REALESTATERENTAL
67,3,6,
68,34,3,Unemployed
69,53,2,Unemployed
70,71,3,
71,3,6,
72,16,2,
73,12,6,
74,2,2,
75,70,4,
76,36,1,Unemployed
77,75,3,
78,69,2,
79,63,4,Unemployed
80,11,2,
81,62,3,Unemployed
82,10,6,
83,85,5,
84,25,4,Unemployed
85,14,2,
86,49,6,Unemployed
87,2,5,
88,58,2,HEALTHCARE
89,69,6,
90,28,2,Unemployed
91,7,2,
92,43,2,OTHER
93,51,1,Unemployed
94,65,1,Unemployed
95,4,5,
96,57,3,Unemployed
97,30,2,Unemployed
98,65,3,Unemployed
99,99,5,
100,56,3,Unemployed
101,84,5,
102,48,2,Unemployed
103,21,1,Unemployed
104,7,5,
105,46,4,Unemployed
106,8,2,
107,44,1,Unemployed
108,30,3,Unemployed
109,71,6,
110,24,1,Unemployed
111,12,5,
112,43,5,Unemployed
113,23,4,Unemployed
114,20,2,Unemployed
115,40,5,HEALTHCARE
116,72,3,
117,47,3,Unemployed
118,5,2,
119,73,4,
120,79,6,
121,71,4,
122,61,1,Unemployed
123,42,4,HEALTHCARE
124,19,4,Unemployed
125,27,3,Unemployed
126,16,3,
127,59,4,Unemployed
128,56,2,Unemployed
129,40,1,Unemployed
130,27,4,Unemployed
131,45,6,Unemployed
132,9,2,
133,59,4,Unemployed
134,46,5,Unemployed
135,75,5,
136,32,2,FOOD
137,23,5,Unemployed
138,44,1,Unemployed
139,59,1,Unemployed
140,9,3,
141,22,4,Unemployed
142,5,3,
143,74,2,
144,57,3,FOOD
145,36,2,Unemployed
146,70,6,
147,91,4,
148,52,4,HEALTHCARE
149,35,4,Unemployed
150,13,1,
151,42,2,Unemployed
152,7,5,
153,50,5,FOOD
154,43,4,FOOD
155,39,2,Unemployed
156,51,2,Unemployed
157,86,5,
158,52,3,Unemployed
159,59,5,Unemployed
160,56,4,HEALTHCARE
161,38,2,HEALTHCARE
162,16,1,
163,67,5,
164,36,2,Unemployed
165,62,2,HEALTHCARE
166,12,2,
167,13,5,
168,24,3,Unemployed
169,0,5,
170,17,1,
171,29,5,HEALTHCARE
172,52,2,Unemployed
173,15,4,
174,48,4,HEALTHCARE
175,4,2,
176,5,3,
177,37,5,HEALTHCARE
178,49,2,Unemployed
179,28,5,HEALTHCARE
180,21,5,Unemployed
181,66,2,
182,29,1,Unemployed
183,41,5,Unemployed
184,39,6,Unemployed
185,26,4,OTHER
186,58,1,Unemployed
187,0,1,
188,0,4,
189,33,1,Unemployed
190,22,3,Unemployed
191,53,2,Unemployed
192,36,1,Unemployed
193,70,2,
194,36,2,Unemployed
195,66,5,
196,69,4,
197,17,4,
198,49,5,Unemployed
199,49,5,Unemployed
200,97,4,
201,12,6,
202,23,2,Unemployed
203,41,2,Unemployed
204,7,4,
205,26,6,HEALTHCARE
206,2,4,
207,52,2,Unemployed
208,19,5,Unemployed
209,74,5,
210,20,6,WASTEMANAGEMENT
211,16,2,
212,74,4,
213,35,3,Unemployed
214,15,2,
215,7,2,
216,7,3,
217,65,2,Unemployed
218,25,5,FOOD
219,33,3,Unemployed
220,18,1,Unemployed
221,11,2,
222,90,6,
223,35,5,Unemployed
224,45,6,HEALTHCARE
225,90,1,
226,81,6,
227,0,4,
228,48,1,HEALTHCARE
229,41,5,Unemployed
230,48,3,HEALTHCARE
231,45,5,HEALTHCARE
232,63,6,HEALTHCARE
233,61,2,Unemployed
234,25,2,Unemployed
235,10,5,
236,3,1,
237,75,4,
238,10,3,
239,48,3,Unemployed
240,5,2,
241,32,2,Unemployed
242,14,1,
243,24,2,Unemployed
244,50,2,Unemployed
245,5,2,
246,79,4,
247,68,2,
248,66,4,
249,16,3,
250,13,4,
251,33,6,HEALTHCARE
252,4,2,
253,14,4,
254,67,6,
255,20,2,Unemployed
256,21,1,HEALTHCARE
257,14,2,
258,14,5,
259,4,5,
260,62,4,Unemployed
261,89,4,
262,18,3,Unemployed
263,44,5,Unemployed
264,19,5,Unemployed
265,43,5,HEALTHCARE
266,37,4,Unemployed
267,4,2,
268,60,2,Unemployed
269,4,3,
270,72,3,
271,68,4,
272,26,4,Unemployed
273,50,2,FOOD
274,79,2,
275,70,4,
276,34,4,Unemployed
277,32,5,Unemployed
278,90,5,
279,44,3,Unemployed
280,19,6,FOOD
281,43,5,INFORMATION
282,6,1,
283,15,5,
284,40,1,Unemployed
285,34,2,Unemployed
286,6,5,
287,59,5,Unemployed
288,61,1,Unemployed
289,6,6,
290,21,3,Unemployed
291,57,5,Unemployed
292,11,6,
293,75,5,
294,60,6,Unemployed
295,62,3,Unemployed
296,58,5,Unemployed
297,6,2,
298,69,6,
299,13,6,
300,30,1,FOOD
301,38,4,Unemployed
302,47,6,Unemployed
303,42,4,HEALTHCARE
304,5,6,
305,6,6,
306,65,6,Unemployed
307,77,2,
308,72,2,
309,42,6,Unemployed
310,42,5,Unemployed
311,25,5,Unemployed
312,17,4,
313,75,3,
314,77,1,
315,43,3,Unemployed
316,63,5,Unemployed
317,11,6,
318,16,2,
319,20,1,HEALTHCARE
320,22,2,Unemployed
321,27,3,HEALTHCARE
322,23,5,Unemployed
323,40,2,Unemployed
324,40,2,Unemployed
325,26,5,FOOD
326,14,6,
327,37,2,Unemployed
328,19,3,HEALTHCARE
329,6,2,
330,9,6,
331,17,1,
332,50,4,Unemployed
333,74,6,
334,93,5,
335,62,5,Unemployed
336,74,2,
