ID,Age,Household Size,Occupations
1,27,3,HEALTHCARE
2,2,6,
3,6,2,
4,32,1,Unemployed
5,2,4,
6,14,2,
7,40,3,Unemployed
8,31,4,Unemployed
9,90,4,
10,4,5,
11,59,2,OTHER
12,62,5,Unemployed
13,13,5,
14,36,5,Unemployed
15,38,2,Unemployed
16,68,3,
17,21,3,Unemployed
18,6,3,
19,25,3,Unemployed
20,65,2,Unemployed
21,26,5,Unemployed
22,79,5,
23,56,1,HEALTHCARE
24,11,1,
25,94,5,
26,71,5,
27,68,1,
28,67,4,
29,19,6,Unemployed
30,46,2,HEALTHCARE
31,55,1,Unemployed
32,74,5,
33,28,5,Unemployed
34,38,2,Unemployed
35,18,4,HEALTHCARE
36,15,1,
37,75,2,
38,33,6,Unemployed
39,68,3,
40,24,2,Unemployed
41,27,3,OTHER
42,25,1,Unemployed
43,13,1,
44,94,2,
45,35,2,Unemployed
46,62,3,Unemployed
47,58,2,Unemployed
48,93,1,
49,31,6,FOOD
50,61,2,Unemployed
51,73,2,
52,73,3,
53,69,2,
54,54,2,Unemployed
55,45,5,Unemployed
56,60,4,Unemployed
57,14,4,
58,59,1,Unemployed
59,48,2,HEALTHCARE
60,37,2,HEALTHCARE
61,2,3,
62,21,1,Unemployed
63,18,3,Unemployed
64,26,3,Unemployed
65,99,2,
66,1,6,
67,70,4,
68,16,3,
69,13,6,
70,4,4,
71,36,3,Unemployed
72,61,3,HEALTHCARE
73,74,4,
74,66,4,
75,80,5,
76,13,4,
77,66,4,
78,100,1,
79,42,2,FOOD
80,97,2,
81,71,3,
82,52,5,Unemployed
83,22,2,HEALTHCARE
84,71,2,
85,81,5,
86,7,4,
87,62,5,Unemployed
88,37,2,Unemployed
89,11,5,
90,48,2,Unemployed
91,29,3,Unemployed
92,64,5,OTHER
93,52,3,Unemployed
94,61,2,Unemployed
95,67,1,
96,88,2,
97,14,2,
98,70,2,
99,18,2,Unemployed
100,77,5,
101,56,2,HEALTHCARE
102,48,2,Unemployed
103,62,2,Unemployed
104,45,2,Unemployed
105,20,2,Unemployed
106,21,4,FOOD
107,21,6,Unemployed
108,39,1,Unemployed
109,28,2,Unemployed
110,5,1,
111,30,4,Unemployed
112,61,2,FOOD
113,19,5,Unemployed
114,15,2,
115,78,2,
116,28,2,Unemployed
117,5,3,
118,13,2,
119,66,1,
120,50,5,HEALTHCARE
121,11,2,
122,2,5,
123,52,3,HEALTHCARE
124,36,3,HEALTHCARE
125,61,3,Unemployed
126,23,1,Unemployed
127,21,4,FOOD
128,60,2,Unemployed
129,75,1,
130,30,4,Unemployed
131,79,2,
132,36,1,OTHER
133,73,2,
134,99,2,
135,52,5,Unemployed
136,93,3,
137,57,5,HEALTHCARE
138,61,6,OTHER
139,75,1,
140,30,3,UTILITIES
141,37,2,Unemployed
142,69,3,
143,16,3,
144,28,2,Unemployed
145,25,2,Unemployed
146,74,6,
147,50,3,Unemployed
148,7,3,
149,62,1,Unemployed
150,0,2,
151,38,1,Unemployed
152,74,1,
153,58,2,FINANCEINSURANCE
154,13,1,
155,3,4,
156,67,5,
157,97,2,
158,2,2,
159,48,2,Unemployed
160,54,1,Unemployed
161,33,4,Unemployed
162,71,1,
163,42,1,HEALTHCARE
164,61,4,Unemployed
165,1,2,
166,11,1,
167,2,2,
168,54,1,Unemployed
169,51,5,Unemployed
170,14,2,
171,55,3,Unemployed
172,67,2,
173,73,3,
174,70,6,
175,65,2,Unemployed
176,17,4,
177,46,3,Unemployed
178,10,1,
179,44,3,Unemployed
180,61,1,FINANCEINSURANCE
181,1,2,
182,2,3,
183,9,2,
184,16,1,
185,43,2,HEALTHCARE
186,31,1,FINANCEINSURANCE
187,63,1,HEALTHCARE
188,30,3,Unemployed
189,79,2,
190,23,1,Unemployed
191,20,3,WASTEMANAGEMENT
192,25,4,Unemployed
193,22,2,HEALTHCARE
194,69,1,
195,20,2,FOOD
196,62,3,Unemployed
197,28,6,Unemployed
198,22,3,HEALTHCARE
199,63,2,SCIENTIFICTECHNICAL
200,64,2,HEALTHCARE
201,34,2,Unemployed
202,92,3,
203,5,2,
204,68,2,
205,96,2,
206,64,2,Unemployed
207,39,2,HEALTHCARE
208,48,2,Unemployed
209,26,6,SCIENTIFICTECHNICAL
210,6,3,
211,3,2,
212,39,2,Unemployed
213,10,2,
214,93,3,
215,64,2,Unemployed
216,42,3,Unemployed
217,59,2,Unemployed
218,50,5,Unemployed
219,76,2,
220,40,2,Unemployed
221,19,1,FOOD
222,12,2,
223,64,3,Unemployed
224,47,2,Unemployed
225,13,6,
226,26,5,HEALTHCARE
227,52,3,Unemployed
228,46,1,Unemployed
229,65,4,FOOD
230,59,4,HEALTHCARE
231,35,4,FOOD
232,27,4,Unemployed
233,37,5,Unemployed
234,98,2,
235,91,2,
236,30,3,Unemployed
237,44,2,HEALTHCARE
238,7,4,
239,16,1,
240,30,5,FOOD
241,77,5,
242,24,5,Unemployed
243,37,5,HEALTHCARE
244,68,4,
245,9,2,
246,98,4,
247,15,3,
248,21,2,WASTEMANAGEMENT
249,41,3,Unemployed
250,52,2,Unemployed
251,40,4,Unemployed
252,75,3,
253,26,2,FOOD
254,58,2,Unemployed
255,47,1,OTHER
256,0,2,
257,13,5,
258,35,2,Unemployed
259,18,5,HEALTHCARE
260,62,1,Unemployed
261,56,6,Unemployed
262,14,3,
263,12,4,
264,37,4,Unemployed
265,29,4,Unemployed
266,48,3,Unemployed
267,2,2,
268,79,2,
269,45,5,Unemployed
270,77,6,
271,6,3,
272,87,5,
273,35,3,Unemployed
274,51,5,Unemployed
275,63,5,Unemployed
276,41,2,Unemployed
277,42,3,Unemployed
278,49,3,Unemployed
279,56,3,Unemployed
280,34,2,Unemployed
281,19,2,Unemployed
282,37,2,Unemployed
283,51,6,Unemployed
284,1,1,
285,50,1,Unemployed
286,30,4,HEALTHCARE
287,17,4,
288,5,5,
289,41,2,FOOD
290,78,4,
291,56,1,HEALTHCARE
292,16,5,
293,50,2,SCIENTIFICTECHNICAL
294,74,5,
295,7,4,
296,51,5,Unemployed
297,8,3,
298,41,2,Unemployed
299,51,5,Unemployed
300,5,2,
301,22,4,Unemployed
302,10,4,
303,60,3,Unemployed
304,64,2,Unemployed
305,48,2,Unemployed
306,27,1,FOOD
307,63,1,Unemployed
308,24,2,HEALTHCARE
309,71,3,
310,14,4,
311,51,2,Unemployed
312,20,5,Unemployed
313,49,1,Unemployed
314,41,5,Unemployed
315,26,5,Unemployed
316,4,4,
317,68,2,
318,97,4,
319,65,2,Unemployed
320,58,3,OTHER
321,29,1,Unemployed
322,16,5,
323,4,2,
324,69,4,
325,17,5,
326,28,4,OTHER
327,77,5,
328,94,4,
329,35,2,Unemployed
330,88,3,
331,70,1,
332,18,1,HEALTHCARE
