ID,Age,Household Size,Occupations
1,24,4,Unemployed
2,12,6,
3,18,6,Unemployed
4,12,3,
5,3,6,
6,32,6,Unemployed
7,4,3,
8,57,6,Unemployed
9,4,3,
10,27,2,Unemployed
11,24,4,Unemployed
12,16,2,
13,38,2,Unemployed
14,9,3,
15,10,3,
16,17,3,
17,19,5,HEALTHCARE
18,32,5,Unemployed
19,19,5,Unemployed
20,24,4,Unemployed
21,45,4,Unemployed
22,94,2,
23,44,3,Unemployed
24,71,2,
25,2,2,
26,9,2,
27,44,2,Unemployed
28,3,4,
29,65,4,Unemployed
30,60,2,Unemployed
31,19,3,Unemployed
32,70,3,
33,65,6,HEALTHCARE
34,4,3,
35,2,6,
36,80,3,
37,37,2,Unemployed
38,79,6,
39,62,2,Unemployed
40,67,5,
41,37,3,Unemployed
42,3,3,
43,38,4,HEALTHCARE
44,28,2,Unemployed
45,20,4,Unemployed
46,14,3,
47,28,2,Unemployed
48,56,2,Unemployed
49,16,2,
50,47,6,Unemployed
51,3,2,
52,74,6,
53,55,4,Unemployed
54,71,2,
55,84,2,
56,32,4,Unemployed
57,26,2,Unemployed
58,14,1,
59,26,3,Unemployed
60,71,4,
61,24,4,Unemployed
62,12,2,
63,14,5,
64,26,2,Unemployed
65,14,3,
66,11,6,
67,39,2,Unemployed
68,46,6,HEALTHCARE
69,1,5,
70,37,6,Unemployed
71,21,1,Unemployed
72,15,3,
73,96,2,
74,31,2,Unemployed
75,69,2,
76,2,6,
77,2,2,
78,63,4,Unemployed
79,14,2,
80,69,4,
81,8,1,
82,57,4,Unemployed
83,4,1,
84,59,2,Unemployed
85,70,6,
86,41,2,Unemployed
87,31,5,Unemployed
88,43,5,Unemployed
89,33,3,HEALTHCARE
90,11,1,
91,67,2,
92,53,2,Unemployed
93,19,6,HEALTHCARE
94,37,2,Unemployed
95,63,4,Unemployed
96,37,2,Unemployed
97,64,3,Unemployed
98,37,4,Unemployed
99,68,1,
100,77,2,
101,44,5,Unemployed
102,24,3,Unemployed
103,98,2,
104,17,1,
105,12,2,
106,46,2,HEALTHCARE
107,59,3,Unemployed
108,56,5,Unemployed
109,38,6,Unemployed
110,31,3,Unemployed
111,1,2,
112,53,5,Unemployed
113,14,3,
114,57,3,Unemployed
115,18,3,Unemployed
116,53,2,Unemployed
117,52,2,Unemployed
118,51,4,Unemployed
119,63,3,HEALTHCARE
120,33,4,Unemployed
121,21,3,Unemployed
122,50,2,Unemployed
123,67,4,
124,37,3,Unemployed
125,46,1,Unemployed
126,38,4,Unemployed
127,32,2,Unemployed
128,77,5,
129,54,5,HEALTHCARE
130,70,4,
131,26,6,Unemployed
132,27,6,Unemployed
133,70,4,
134,68,4,
135,11,4,
136,10,6,
137,54,1,HEALTHCARE
138,49,5,Unemployed
139,34,6,Unemployed
140,23,1,Unemployed
141,21,3,Unemployed
142,55,5,FOOD
143,62,2,Unemployed
144,69,3,
145,37,5,Unemployed
146,32,2,Unemployed
147,40,2,Unemployed
148,47,2,Unemployed
149,6,4,
150,75,2,
151,44,2,Unemployed
152,17,2,
153,45,4,Unemployed
154,32,1,Unemployed
155,2,6,
156,70,2,
157,2,2,
158,18,4,Unemployed
159,5,5,
160,49,2,Unemployed
161,31,5,HEALTHCARE
162,18,5,Unemployed
163,75,4,
164,67,2,
165,94,4,
166,62,2,OTHER
167,0,1,
168,10,4,
169,69,4,
170,23,4,Unemployed
171,14,2,
172,35,5,Unemployed
173,64,3,Unemployed
174,50,5,Unemployed
175,57,6,Unemployed
176,13,4,
177,7,1,
178,5,5,
179,71,3,
180,8,2,
181,69,2,
182,32,2,Unemployed
183,70,5,
184,60,3,Unemployed
185,53,5,Unemployed
186,34,2,Unemployed
187,10,2,
188,86,2,
189,48,6,Unemployed
190,67,5,
191,62,1,Unemployed
192,54,2,Unemployed
193,16,2,
194,59,2,Unemployed
195,41,4,Unemployed
196,68,3,
197,58,2,Unemployed
198,13,4,
199,63,1,Unemployed
200,46,2,Unemployed
201,40,5,HEALTHCARE
202,41,6,Unemployed
203,63,3,Unemployed
204,69,4,
205,64,6,Unemployed
206,97,2,
207,69,6,
208,12,4,
209,30,4,Unemployed
210,48,2,Unemployed
211,32,5,Unemployed
212,12,6,
213,100,3,
214,78,4,
215,65,2,Unemployed
216,72,2,
217,19,2,Unemployed
218,61,3,FOOD
219,60,6,HEALTHCARE
220,37,2,Unemployed
221,18,2,Unemployed
222,28,6,FOOD
223,26,2,Unemployed
224,19,2,HEALTHCARE
225,46,4,Unemployed
226,29,4,Unemployed
227,56,4,Unemployed
228,28,2,Unemployed
229,50,6,Unemployed
230,90,2,
231,47,1,Unemployed
232,71,3,
233,11,3,
234,64,1,Unemployed
235,30,1,Unemployed
236,67,4,
237,69,5,
238,51,2,HEALTHCARE
239,10,2,
240,77,6,
241,59,2,Unemployed
242,64,6,Unemployed
243,67,4,
244,0,5,
245,72,6,
246,19,2,Unemployed
247,2,2,
248,38,3,Unemployed
249,12,2,
250,39,3,Unemployed
251,23,5,Unemployed
252,48,5,HEALTHCARE
253,6,1,
254,71,2,
255,36,2,Unemployed
256,10,4,
257,77,2,
258,35,2,Unemployed
259,54,4,Unemployed
260,45,3,Unemployed
261,50,6,FOOD
262,33,2,Unemployed
263,46,2,Unemployed
264,41,6,Unemployed
265,2,4,
266,4,1,
267,2,3,
268,77,3,
269,16,4,
270,13,2,
271,63,4,Unemployed
272,66,2,
273,9,4,
274,84,2,
275,74,5,
276,16,6,
277,21,4,Unemployed
278,25,2,FOOD
279,18,1,Unemployed
280,30,4,Unemployed
281,88,2,
282,61,4,Unemployed
283,61,6,Unemployed
284,63,1,Unemployed
285,14,2,
286,41,2,HEALTHCARE
287,62,2,HEALTHCARE
288,65,2,Unemployed
289,18,3,Unemployed
290,18,3,Unemployed
291,16,2,
