ID,Age,Household Size,Occupations,Household ID
1,45,5,FOOD,12158
2,48,6,OTHER,12553
3,13,2,,4102
4,41,3,OTHER,9293
5,24,2,UTILITIES,4102
6,23,2,FOOD,4103
7,32,3,FOOD,9293
8,67,2,,4103
9,52,2,HEALTHCARE,4104
10,28,2,FOOD,4104
11,17,3,,9293
12,39,5,HEALTHCARE,12158
13,31,5,HEALTHCARE,12158
14,23,2,FOOD,4105
15,72,4,,11069
16,47,2,HEALTHCARE,4105
17,37,5,Unemployed,12158
18,66,4,,11069
19,53,1,FINANCEINSURANCE,1
20,23,1,ART,2
21,24,2,OTHER,4106
22,73,2,,4106
23,55,3,HEALTHCARE,9294
24,66,3,,9294
25,1,3,,9294
26,56,5,HEALTHCARE,12158
27,54,1,OTHER,3
28,0,2,,4107
29,39,5,HEALTHCARE,12159
30,54,5,OTHER,12159
31,74,2,,4107
32,40,2,WASTEMANAGEMENT,4108
33,71,1,,4
34,46,2,HEALTHCARE,4108
35,35,6,HEALTHCARE,12553
36,18,2,FOOD,4109
37,73,4,,11069
38,68,6,,12553
39,39,1,OTHER,5
40,55,5,Unemployed,12159
41,52,6,HEALTHCARE,12553
42,41,2,FINANCEINSURANCE,4109
43,50,1,HEALTHCARE,6
44,10,4,,11069
45,12,1,,7
46,72,2,,4110
47,65,3,HEALTHCARE,9295
48,45,5,HEALTHCARE,12159
49,42,1,WASTEMANAGEMENT,8
50,49,3,INFORMATION,9295
51,22,2,HEALTHCARE,4110
52,36,2,HEALTHCARE,4111
53,68,2,,4111
54,70,2,,4112
55,44,1,HEALTHCARE,9
56,5,2,,4112
57,15,2,,4113
58,3,2,,4113
59,57,1,HEALTHCARE,10
60,63,4,Unemployed,11070
61,63,2,FOOD,4114
62,10,4,,11070
63,15,3,,9295
64,76,4,,11070
65,68,2,,4114
66,10,3,,9296
67,45,3,HEALTHCARE,9296
68,76,3,,9296
69,5,4,,11070
70,67,4,,11071
71,46,3,HEALTHCARE,9297
72,8,1,,11
73,50,2,Unemployed,4115
74,95,2,,4115
75,77,1,,12
76,48,2,FOOD,4116
77,58,2,HEALTHCARE,4116
78,67,3,,9297
79,12,5,,12159
80,33,2,HEALTHCARE,4117
81,88,2,,4117
82,69,4,,11071
83,47,2,HEALTHCARE,4118
84,65,3,REALESTATERENTAL,9297
85,70,2,,4118
86,69,5,,12160
87,18,4,FOOD,11071
88,41,1,HEALTHCARE,13
89,54,5,INFORMATION,12160
90,54,2,HEALTHCARE,4119
91,57,2,Unemployed,4119
92,88,2,,4120
93,19,3,HEALTHCARE,9298
94,27,2,WASTEMANAGEMENT,4120
95,19,2,HEALTHCARE,4121
96,55,3,FOOD,9298
97,8,2,,4121
98,31,3,INFORMATION,9298
99,60,4,UTILITIES,11071
100,35,1,HEALTHCARE,14
101,26,6,HEALTHCARE,12553
102,10,6,,12553
103,39,2,HEALTHCARE,4122
104,76,5,,12160
105,85,2,,4122
106,62,2,HEALTHCARE,4123
107,12,5,,12160
108,47,5,HEALTHCARE,12160
109,67,5,,12161
110,56,2,HEALTHCARE,4123
111,39,2,FOOD,4124
112,54,1,HEALTHCARE,15
113,31,3,HEALTHCARE,9299
114,21,5,HEALTHCARE,12161
115,55,1,HEALTHCARE,16
116,97,4,,11072
117,0,1,,17
118,43,4,HEALTHCARE,11072
119,98,1,,18
120,53,3,HEALTHCARE,9299
121,3,2,,4124
122,66,4,,11072
123,81,2,,4125
124,55,3,HEALTHCARE,9299
125,78,1,,19
126,53,3,HEALTHCARE,9300
127,8,4,,11072
128,41,1,INFORMATION,20
129,0,6,,12554
130,30,4,HEALTHCARE,11073
131,46,4,FOOD,11073
132,41,1,OTHER,21
133,10,2,,4125
134,24,2,SCIENTIFICTECHNICAL,4126
135,17,2,,4126
136,65,2,SCIENTIFICTECHNICAL,4127
137,76,2,,4127
138,56,1,FOOD,22
139,21,5,HEALTHCARE,12161
140,65,3,ART,9300
141,21,3,SCIENTIFICTECHNICAL,9300
142,61,3,HEALTHCARE,9301
143,70,2,,4128
144,43,2,WASTEMANAGEMENT,4128
145,48,2,HEALTHCARE,4129
