ID,Age,Household Size,Occupations,Household ID
1,70,2,,2604
2,48,2,FOOD,2604
3,61,1,FINANCEINSURANCE,1
4,1,2,,2605
5,32,2,FOOD,2605
6,21,4,FOOD,8275
7,54,2,FOOD,2606
8,48,3,FOOD,7109
9,70,6,,9787
10,10,2,,2606
11,68,5,,9279
12,57,3,FOOD,7109
13,40,4,INFORMATION,8275
14,70,2,,2607
15,73,4,,8275
16,15,4,,8275
17,28,2,FOOD,2607
18,64,3,FOOD,7109
19,77,4,,8276
20,63,4,HEALTHCARE,8276
21,51,2,ART,2608
22,100,2,,2608
23,79,3,,7110
24,6,1,,2
25,78,4,,8276
26,67,2,,2609
27,60,4,HEALTHCARE,8276
28,73,1,,3
29,100,2,,2609
30,65,2,FINANCEINSURANCE,2610
31,18,1,FOOD,4
32,14,2,,2610
33,80,1,,5
34,77,5,,9279
35,8,4,,8277
36,37,6,Unemployed,9787
37,64,2,HEALTHCARE,2611
38,13,2,,2611
39,70,2,,2612
40,67,3,,7110
41,65,5,FOOD,9279
42,69,2,,2612
43,26,2,HEALTHCARE,2613
44,8,2,,2613
45,70,4,,8277
46,79,2,,2614
47,64,4,Unemployed,8277
48,22,2,REALESTATERENTAL,2614
49,75,1,,6
50,71,3,,7110
51,35,3,FINANCEINSURANCE,7111
52,63,4,HEALTHCARE,8277
53,72,5,,9279
54,26,2,FOOD,2615
55,40,3,Unemployed,7111
56,99,5,,9279
57,61,4,INFORMATION,8278
58,63,4,FOOD,8278
59,60,4,FOOD,8278
60,43,2,FOOD,2615
61,56,3,HEALTHCARE,7111
62,30,2,HEALTHCARE,2616
63,48,4,ART,8278
64,9,3,,7112
65,12,2,,2616
66,27,1,FOOD,7
67,32,1,FOOD,8
68,11,4,,8279
69,42,3,OTHER,7112
70,65,4,FOOD,8279
71,20,4,INFORMATION,8279
72,90,4,,8279
73,50,3,FOOD,7112
74,57,2,OTHER,2617
75,0,2,,2617
76,48,2,FOOD,2618
77,97,2,,2618
78,33,6,FOOD,9787
79,35,4,FOOD,8280
80,26,5,FOOD,9280
81,48,2,FOOD,2619
82,63,3,FOOD,7113
83,25,6,FOOD,9787
84,30,5,Unemployed,9280
85,66,2,,2619
86,74,2,,2620
87,84,2,,2620
88,49,1,ART,9
89,61,4,FOOD,8280
90,44,3,FOOD,7113
91,16,2,,2621
92,60,4,FINANCEINSURANCE,8280
93,16,2,,2621
94,58,2,FOOD,2622
95,35,1,HEALTHCARE,10
96,69,2,,2622
97,57,5,FOOD,9280
98,79,3,,7113
99,78,2,,2623
100,17,2,,2623
101,77,3,,7114
102,18,3,FOOD,7114
103,50,2,FOOD,2624
104,53,5,FOOD,9280
105,8,6,,9787
106,61,1,FOOD,11
107,16,4,,8280
108,27,4,FOOD,8281
109,66,2,,2624
110,57,3,FOOD,7114
111,87,1,,12
112,44,3,FOOD,7115
113,74,2,,2625
114,69,2,,2625
115,19,1,FOOD,13
116,23,2,FOOD,2626
117,15,2,,2626
118,74,1,,14
119,68,2,,2627
120,60,1,FOOD,15
121,48,3,FOOD,7115
122,50,3,FOOD,7115
123,66,1,,16
124,4,1,,17
125,77,3,,7116
126,1,2,,2627
127,4,4,,8281
128,53,2,HEALTHCARE,2628
129,17,3,,7116
130,30,1,FOOD,18
131,79,1,,19
132,26,2,OTHER,2628
133,53,2,HEALTHCARE,2629
134,69,2,,2629
135,45,3,FOOD,7116
136,27,4,INFORMATION,8281
137,59,6,Unemployed,9787
138,2,3,,7117
139,46,3,OTHER,7117
140,63,2,FOOD,2630
141,67,2,,2630
142,54,5,HEALTHCARE,9280
143,49,2,FOOD,2631
144,15,5,,9281
145,29,6,FOOD,9788
146,12,2,,2631
147,28,2,FOOD,2632
148,54,3,FOOD,7117
149,43,6,FOOD,9788
150,61,5,FOOD,9281
151,60,2,FOOD,2632
152,49,5,FOOD,9281
153,66,2,,2633
154,59,3,FOOD,7118
155,30,2,FOOD,2633
156,9,4,,8281
157,51,4,FOOD,8282
158,26,4,Unemployed,8282
159,39,2,OTHER,2634
160,62,2,FOOD,2634
161,70,2,,2635
162,68,4,,8282
163,54,2,HEALTHCARE,2635
164,28,2,FOOD,2636
165,49,2,FOOD,2636
166,33,3,FOOD,7118
167,68,2,,2637
168,98,4,,8282
169,79,6,,9788
170,11,4,,8283
171,66,5,,9281
172,66,4,,8283
173,74,1,,20
174,73,2,,2637
175,43,4,HEALTHCARE,8283
176,75,6,,9788
