ID,Age,Household Size,Occupations,Household ID
1,34,1,WASTEMANAGEMENT,1
2,85,3,,4019
3,71,2,,1705
4,98,2,,1705
5,11,3,,4019
6,49,4,WASTEMANAGEMENT,4587
7,93,2,,1706
8,80,3,,4019
9,48,2,WASTEMANAGEMENT,1706
10,88,2,,1707
11,78,1,,2
12,69,3,,4020
13,60,2,FOOD,1707
14,20,2,FOOD,1708
15,14,2,,1708
16,40,2,FOOD,1709
17,76,2,,1709
18,58,3,FOOD,4020
19,43,2,FOOD,1710
20,41,3,Unemployed,4020
21,98,2,,1710
22,14,3,,4021
23,74,4,,4587
24,71,4,,4587
25,50,2,FOOD,1711
26,62,2,FOOD,1711
27,35,2,FOOD,1712
28,90,2,,1712
29,69,4,,4587
30,69,3,,4021
31,51,1,FOOD,3
32,64,2,FOOD,1713
33,61,2,FOOD,1713
34,80,4,,4588
35,66,1,,4
36,73,4,,4588
37,31,3,FOOD,4021
38,67,2,,1714
39,46,2,FOOD,1714
40,14,5,,4965
41,31,1,WASTEMANAGEMENT,5
42,93,3,,4022
43,61,2,WASTEMANAGEMENT,1715
44,3,1,,6
45,72,4,,4588
46,52,1,FOOD,7
47,86,4,,4588
48,53,4,FOOD,4589
49,59,1,FOOD,8
50,68,2,,1715
51,51,4,WASTEMANAGEMENT,4589
52,49,4,WASTEMANAGEMENT,4589
53,47,2,Unemployed,1716
54,26,1,FOOD,9
55,79,4,,4589
56,42,2,FOOD,1716
57,3,2,,1717
58,50,6,FOOD,5077
59,73,4,,4590
60,61,6,WASTEMANAGEMENT,5077
61,66,2,,1717
62,53,1,FOOD,10
63,60,2,FOOD,1718
64,63,3,FOOD,4022
65,31,1,Unemployed,11
66,40,2,FOOD,1718
67,78,2,,1719
68,78,5,,4965
69,71,2,,1719
70,62,2,Unemployed,1720
71,72,2,,1720
72,59,2,WASTEMANAGEMENT,1721
73,30,2,FOOD,1721
74,69,1,,12
75,28,2,FOOD,1722
76,71,1,,13
77,53,1,FOOD,14
78,100,1,,15
79,85,3,,4022
80,73,3,,4023
81,70,2,,1722
82,57,2,WASTEMANAGEMENT,1723
83,72,2,,1723
84,54,2,FOOD,1724
85,34,4,WASTEMANAGEMENT,4590
86,33,3,FOOD,4023
87,46,3,FOOD,4023
88,74,1,,16
89,68,1,,17
90,6,2,,1724
91,39,2,FOOD,1725
92,39,1,FOOD,18
93,76,2,,1725
94,44,1,WASTEMANAGEMENT,19
95,69,2,,1726
96,53,1,FOOD,20
97,83,1,,21
98,82,1,,22
99,66,6,,5077
100,58,3,WASTEMANAGEMENT,4024
101,79,1,,23
102,59,6,FOOD,5077
103,63,2,WASTEMANAGEMENT,1726
104,84,6,,5077
105,62,2,WASTEMANAGEMENT,1727
106,60,2,WASTEMANAGEMENT,1727
107,44,2,FOOD,1728
108,52,2,FOOD,1728
109,65,2,WASTEMANAGEMENT,1729
110,13,3,,4024
111,30,2,WASTEMANAGEMENT,1729
112,100,1,,24
113,47,4,FOOD,4590
114,56,2,FOOD,1730
115,67,3,,4024
116,66,5,,4965
117,33,4,FOOD,4590
118,30,4,FOOD,4591
119,74,4,,4591
120,68,2,,1730
121,57,2,FOOD,1731
122,38,2,FOOD,1731
123,3,2,,1732
124,62,2,FOOD,1732
125,15,2,,1733
126,64,2,FOOD,1733
127,39,2,FOOD,1734
128,39,4,FOOD,4591
129,46,4,WASTEMANAGEMENT,4591
130,40,2,FOOD,1734
131,74,2,,1735
132,7,2,,1735
133,74,4,,4592
134,7,3,,4025
135,1,2,,1736
136,72,4,,4592
137,9,1,,25
138,56,3,WASTEMANAGEMENT,4025
139,68,4,,4592
140,69,1,,26
141,65,2,WASTEMANAGEMENT,1736
142,51,2,WASTEMANAGEMENT,1737
143,69,2,,1737
144,73,3,,4025
145,77,4,,4592
146,6,1,,27
147,71,2,,1738
148,74,2,,1738
149,29,2,WASTEMANAGEMENT,1739
150,77,2,,1739
151,28,3,FOOD,4026
152,31,2,FOOD,1740
153,62,1,FOOD,28
154,78,3,,4026
155,47,4,Unemployed,4593
156,77,2,,1740
157,87,1,,29
158,15,2,,1741
159,65,1,FOOD,30
160,69,1,,31
161,63,2,Unemployed,1741
162,45,1,FOOD,32
163,70,5,,4965
164,95,5,,4965
165,38,4,WASTEMANAGEMENT,4593
166,2,2,,1742
167,38,2,WASTEMANAGEMENT,1742
168,23,2,FOOD,1743
169,79,1,,33
170,55,2,FOOD,1743
171,53,2,FOOD,1744
172,60,2,FOOD,1744
173,66,4,,4593
174,21,2,WASTEMANAGEMENT,1745
175,53,3,FOOD,4026
176,20,4,FOOD,4593
177,93,2,,1745
178,65,3,FOOD,4027
179,41,2,FOOD,1746
180,66,2,,1746
181,36,1,Unemployed,34
182,60,2,WASTEMANAGEMENT,1747
183,64,1,FOOD,35
184,55,1,FOOD,36
185,76,4,,4594
186,88,4,,4594
187,53,2,Unemployed,1747
188,69,2,,1748
189,70,3,,4027
190,13,1,,37
191,69,1,,38
192,53,2,WASTEMANAGEMENT,1748
193,70,1,,39
194,90,2,,1749
195,27,2,FOOD,1749
196,28,2,FOOD,1750
197,14,2,,1750
198,18,4,WASTEMANAGEMENT,4594
199,73,3,,4027
200,55,3,FOOD,4028
201,5,4,,4594
202,32,2,FOOD,1751
203,44,1,Unemployed,40
204,75,1,,41
205,64,5,FOOD,4966
206,70,4,,4595
207,41,6,FOOD,5077
208,71,4,,4595
209,61,5,WASTEMANAGEMENT,4966
210,33,4,FOOD,4595
211,27,1,FOOD,42
212,62,2,FOOD,1751
213,49,4,FOOD,4595
214,7,5,,4966
215,22,1,FOOD,43
216,67,3,,4028
217,62,2,FOOD,1752
218,96,3,,4028
219,75,4,,4596
220,53,3,WASTEMANAGEMENT,4029
221,79,1,,44
222,85,2,,1752
223,55,5,FOOD,4966
224,10,2,,1753
225,62,2,WASTEMANAGEMENT,1753
226,87,1,,45
227,67,2,,1754
228,82,1,,46
229,61,2,WASTEMANAGEMENT,1754
230,34,4,FOOD,4596
231,59,2,WASTEMANAGEMENT,1755
232,36,2,WASTEMANAGEMENT,1755
233,78,1,,47
234,15,5,,4966
235,48,2,FOOD,1756
236,67,2,,1756
237,68,1,,48
238,49,2,FOOD,1757
239,61,2,WASTEMANAGEMENT,1757
240,75,2,,1758
241,66,3,,4029
242,50,4,FOOD,4596
243,51,2,WASTEMANAGEMENT,1758
244,56,3,FOOD,4029
245,58,4,FOOD,4596
246,23,1,WASTEMANAGEMENT,49
247,64,2,FOOD,1759
248,27,6,WASTEMANAGEMENT,5078
249,58,2,FOOD,1759
250,54,3,Unemployed,4030
251,24,2,FOOD,1760
252,85,2,,1760
253,88,2,,1761
254,60,2,WASTEMANAGEMENT,1761
255,55,2,FOOD,1762
256,0,4,,4597
257,90,1,,50
258,64,3,WASTEMANAGEMENT,4030
259,53,2,FOOD,1762
260,38,2,FOOD,1763
261,39,2,FOOD,1763
262,99,4,,4597
263,29,2,FOOD,1764
264,56,2,FOOD,1764
265,50,6,WASTEMANAGEMENT,5078
266,72,3,,4030
267,67,3,,4031
268,31,6,WASTEMANAGEMENT,5078
269,68,4,,4597
270,79,4,,4597
271,97,2,,1765
272,25,1,WASTEMANAGEMENT,51
273,61,2,Unemployed,1765
274,6,3,,4031
275,90,5,,4967
276,56,1,FOOD,52
277,77,4,,4598
278,64,3,FOOD,4031
279,79,2,,1766
280,7,3,,4032
281,25,3,FOOD,4032
282,10,4,,4598
283,33,2,FOOD,1766
284,32,2,FOOD,1767
285,61,2,FOOD,1767
286,69,3,,4032
287,10,1,,53
288,56,2,WASTEMANAGEMENT,1768
289,26,2,FOOD,1768
290,53,2,FOOD,1769
291,3,1,,54
292,55,2,FOOD,1769
293,67,4,,4598
294,18,2,FOOD,1770
295,69,4,,4598
296,66,2,,1770
297,25,1,FOOD,55
298,33,2,WASTEMANAGEMENT,1771
299,30,2,FOOD,1771
300,60,2,WASTEMANAGEMENT,1772
301,36,2,FOOD,1772
302,11,3,,4033
303,98,2,,1773
304,68,3,,4033
305,69,1,,56
306,48,2,FOOD,1773
307,66,2,,1774
308,67,3,,4033
309,84,1,,57
310,69,4,,4599
311,79,5,,4967
312,61,2,FOOD,1774
313,59,3,FOOD,4034
314,72,3,,4034
315,76,3,,4034
316,54,2,WASTEMANAGEMENT,1775
317,54,4,FOOD,4599
318,84,2,,1775
319,49,2,Unemployed,1776
320,1,3,,4035
321,70,2,,1776
322,18,5,FOOD,4967
323,23,4,FOOD,4599
324,64,2,FOOD,1777
325,75,2,,1777
326,58,2,Unemployed,1778
327,99,2,,1778
328,88,1,,58
329,43,3,FOOD,4035
330,7,4,,4599
331,61,1,FOOD,59
332,79,2,,1779
333,74,2,,1779
334,65,2,WASTEMANAGEMENT,1780
335,64,2,WASTEMANAGEMENT,1780
336,78,3,,4035
337,67,2,,1781
338,96,1,,60
339,46,4,FOOD,4600
340,26,1,FOOD,61
341,9,2,,1781
342,81,4,,4600
343,34,2,WASTEMANAGEMENT,1782
344,17,1,,62
345,64,2,FOOD,1782
346,68,2,,1783
347,20,2,WASTEMANAGEMENT,1783
348,66,3,,4036
349,48,2,FOOD,1784
350,70,2,,1784
351,28,2,WASTEMANAGEMENT,1785
352,63,2,FOOD,1785
353,73,4,,4600
354,56,2,FOOD,1786
355,78,1,,63
356,63,2,FOOD,1786
357,50,3,FOOD,4036
358,6,4,,4600
359,40,2,FOOD,1787
360,69,6,,5078
361,74,3,,4036
362,23,2,FOOD,1787
363,11,1,,64
364,62,1,FOOD,65
365,37,3,FOOD,4037
366,75,2,,1788
367,41,5,FOOD,4967
368,58,4,FOOD,4601
369,40,2,FOOD,1788
370,85,1,,66
371,93,1,,67
372,36,1,FOOD,68
373,14,2,,1789
374,54,4,WASTEMANAGEMENT,4601
375,70,2,,1789
376,18,4,FOOD,4601
377,54,1,FOOD,69
378,74,4,,4601
379,67,2,,1790
380,70,4,,4602
381,38,4,FOOD,4602
382,58,3,Unemployed,4037
383,73,4,,4602
384,68,1,,70
385,69,2,,1790
386,66,5,,4967
387,52,2,FOOD,1791
388,57,3,FOOD,4037
389,72,1,,71
390,15,4,,4602
391,51,4,FOOD,4603
392,26,1,WASTEMANAGEMENT,72
393,57,2,WASTEMANAGEMENT,1791
394,73,4,,4603
395,8,2,,1792
396,82,2,,1792
397,55,3,FOOD,4038
398,50,4,FOOD,4603
399,61,1,FOOD,73
400,56,2,FOOD,1793
401,92,2,,1793
402,57,3,FOOD,4038
403,100,2,,1794
404,78,2,,1794
405,11,2,,1795
406,58,2,FOOD,1795
407,86,2,,1796
408,72,2,,1796
409,57,2,WASTEMANAGEMENT,1797
410,38,5,WASTEMANAGEMENT,4968
411,76,4,,4603
412,48,4,FOOD,4604
413,81,6,,5078
414,52,2,Unemployed,1797
415,61,2,FOOD,1798
416,61,3,FOOD,4038
417,52,1,WASTEMANAGEMENT,74
418,68,2,,1798
419,11,1,,75
420,63,2,FOOD,1799
421,3,2,,1799
422,37,2,WASTEMANAGEMENT,1800
423,30,1,FOOD,76
424,79,4,,4604
425,4,1,,77
426,70,4,,4604
427,12,2,,1800
428,57,3,WASTEMANAGEMENT,4039
429,55,4,WASTEMANAGEMENT,4604
430,54,4,FOOD,4605
431,10,2,,1801
432,47,2,FOOD,1801
433,58,2,FOOD,1802
434,62,2,FOOD,1802
435,47,2,FOOD,1803
436,72,2,,1803
437,50,3,WASTEMANAGEMENT,4039
438,31,2,FOOD,1804
439,59,4,WASTEMANAGEMENT,4605
440,26,3,FOOD,4039
441,97,4,,4605
442,19,1,FOOD,78
443,66,1,,79
444,79,2,,1804
445,65,2,FOOD,1805
446,58,1,WASTEMANAGEMENT,80
447,61,2,FOOD,1805
448,23,3,FOOD,4040
449,76,1,,81
450,40,4,WASTEMANAGEMENT,4605
451,3,2,,1806
452,39,3,FOOD,4040
453,1,3,,4040
454,97,2,,1806
455,51,4,FOOD,4606
456,10,2,,1807
457,62,4,FOOD,4606
458,62,2,WASTEMANAGEMENT,1807
459,53,4,FOOD,4606
460,22,2,FOOD,1808
461,58,3,FOOD,4041
462,59,4,FOOD,4606
463,56,2,WASTEMANAGEMENT,1808
464,52,5,FOOD,4968
465,89,2,,1809
466,64,4,FOOD,4607
467,46,1,WASTEMANAGEMENT,82
468,20,2,FOOD,1809
469,66,2,,1810
470,51,3,FOOD,4041
471,73,4,,4607
472,10,4,,4607
473,17,5,,4968
474,45,4,FOOD,4607
475,20,2,FOOD,1810
476,4,2,,1811
477,60,3,FOOD,4041
478,69,2,,1811
479,69,6,,5078
480,76,1,,83
481,37,3,FOOD,4042
482,64,3,FOOD,4042
483,61,3,WASTEMANAGEMENT,4042
484,21,2,FOOD,1812
485,70,1,,84
486,61,2,FOOD,1812
487,76,3,,4043
488,56,2,Unemployed,1813
489,78,2,,1813
490,50,2,FOOD,1814
491,31,3,FOOD,4043
492,29,1,WASTEMANAGEMENT,85
493,44,6,FOOD,5079
494,77,3,,4043
495,69,2,,1814
496,58,1,FOOD,86
497,45,3,Unemployed,4044
498,60,2,FOOD,1815
499,60,5,WASTEMANAGEMENT,4968
500,26,4,FOOD,4608
501,73,2,,1815
502,10,3,,4044
503,61,2,FOOD,1816
504,66,2,,1816
505,66,2,,1817
506,68,6,,5079
507,64,2,FOOD,1817
508,70,5,,4968
509,60,3,FOOD,4044
510,21,3,WASTEMANAGEMENT,4045
511,2,1,,87
512,17,4,,4608
513,24,2,FOOD,1818
514,10,3,,4045
515,17,3,,4045
516,85,4,,4608
517,51,3,WASTEMANAGEMENT,4046
518,83,4,,4608
519,73,2,,1818
520,58,2,FOOD,1819
521,49,2,FOOD,1819
522,49,4,FOOD,4609
523,78,2,,1820
524,10,4,,4609
525,61,1,FOOD,88
526,95,1,,89
527,17,3,,4046
528,100,2,,1820
529,4,6,,5079
530,52,4,FOOD,4609
531,70,1,,90
532,34,2,FOOD,1821
533,59,2,FOOD,1821
534,68,1,,91
535,61,3,FOOD,4046
536,16,3,,4047
537,67,2,,1822
538,99,3,,4047
539,60,4,FOOD,4609
540,61,4,WASTEMANAGEMENT,4610
541,26,3,FOOD,4047
542,100,2,,1822
543,77,5,,4969
544,67,2,,1823
545,13,2,,1823
546,63,2,FOOD,1824
547,23,2,FOOD,1824
548,65,4,WASTEMANAGEMENT,4610
549,32,4,FOOD,4610
550,8,5,,4969
551,99,2,,1825
552,78,2,,1825
553,54,2,WASTEMANAGEMENT,1826
554,44,1,FOOD,92
555,77,5,,4969
556,73,1,,93
557,47,3,WASTEMANAGEMENT,4048
558,97,3,,4048
559,76,1,,94
560,76,3,,4048
561,40,2,Unemployed,1826
562,75,5,,4969
563,68,2,,1827
564,50,2,WASTEMANAGEMENT,1827
565,73,3,,4049
566,31,1,FOOD,95
567,51,3,FOOD,4049
568,42,4,FOOD,4610
569,77,2,,1828
570,64,5,FOOD,4969
571,45,2,FOOD,1828
572,32,2,WASTEMANAGEMENT,1829
573,99,1,,96
574,55,2,FOOD,1829
575,32,5,FOOD,4970
576,80,1,,97
577,16,1,,98
578,72,1,,99
579,57,1,FOOD,100
580,74,2,,1830
581,14,3,,4049
582,55,4,FOOD,4611
583,93,2,,1830
584,55,4,FOOD,4611
585,64,6,FOOD,5079
586,54,2,FOOD,1831
587,75,1,,101
588,22,2,FOOD,1831
589,12,1,,102
590,20,6,FOOD,5079
591,69,2,,1832
592,26,4,FOOD,4611
593,21,2,FOOD,1832
594,62,1,FOOD,103
595,75,2,,1833
596,73,2,,1833
597,89,4,,4611
598,71,2,,1834
599,37,3,Unemployed,4050
600,1,5,,4970
601,57,1,FOOD,104
602,60,5,FOOD,4970
603,14,2,,1834
604,36,2,FOOD,1835
605,51,4,WASTEMANAGEMENT,4612
606,26,1,FOOD,105
607,87,6,,5079
608,62,2,WASTEMANAGEMENT,1835
609,19,3,FOOD,4050
610,68,4,,4612
611,53,4,Unemployed,4612
612,64,3,WASTEMANAGEMENT,4050
613,22,2,WASTEMANAGEMENT,1836
614,28,2,FOOD,1836
615,56,2,FOOD,1837
616,46,2,FOOD,1837
617,0,2,,1838
618,35,3,FOOD,4051
619,77,5,,4970
620,13,2,,1838
621,27,2,FOOD,1839
622,77,3,,4051
623,10,4,,4612
624,29,5,FOOD,4970
625,72,3,,4051
626,9,2,,1839
627,15,2,,1840
628,0,4,,4613
629,55,5,FOOD,4971
630,20,3,FOOD,4052
631,69,2,,1840
632,31,3,FOOD,4052
633,21,1,FOOD,106
634,69,2,,1841
635,64,2,FOOD,1841
636,21,2,FOOD,1842
637,72,2,,1842
638,70,1,,107
639,80,2,,1843
640,78,3,,4052
641,100,2,,1843
642,20,3,FOOD,4053
643,22,3,WASTEMANAGEMENT,4053
644,55,2,FOOD,1844
645,68,6,,5080
646,65,2,FOOD,1844
647,61,2,FOOD,1845
648,63,1,FOOD,108
649,49,2,FOOD,1845
650,63,2,FOOD,1846
651,52,2,FOOD,1846
652,72,6,,5080
653,86,1,,109
654,70,2,,1847
655,65,1,FOOD,110
656,84,2,,1847
657,64,2,FOOD,1848
658,33,5,FOOD,4971
659,50,2,FOOD,1848
660,78,2,,1849
661,12,1,,111
662,31,5,WASTEMANAGEMENT,4971
663,38,3,FOOD,4053
664,30,3,FOOD,4054
665,50,4,FOOD,4613
666,59,2,WASTEMANAGEMENT,1849
667,47,2,FOOD,1850
668,85,2,,1850
669,87,3,,4054
670,14,1,,112
671,58,2,FOOD,1851
672,62,1,FOOD,113
673,65,1,FOOD,114
674,15,5,,4971
675,59,2,FOOD,1851
676,88,1,,115
677,68,2,,1852
678,53,3,WASTEMANAGEMENT,4054
679,61,1,FOOD,116
680,10,3,,4055
681,55,3,FOOD,4055
682,51,1,FOOD,117
683,1,3,,4055
684,67,2,,1852
685,67,3,,4056
686,79,4,,4613
687,68,2,,1853
688,61,3,FOOD,4056
689,71,2,,1853
690,57,5,FOOD,4971
691,21,5,FOOD,4972
692,22,5,FOOD,4972
693,68,2,,1854
694,79,2,,1854
695,14,2,,1855
696,11,2,,1855
697,44,4,FOOD,4613
698,48,2,FOOD,1856
699,25,2,FOOD,1856
700,4,2,,1857
701,53,2,WASTEMANAGEMENT,1857
702,0,2,,1858
703,56,3,FOOD,4056
704,51,2,FOOD,1858
705,58,3,FOOD,4057
706,73,3,,4057
707,73,4,,4614
708,67,3,,4057
709,60,3,FOOD,4058
710,93,1,,118
711,63,2,FOOD,1859
712,55,2,FOOD,1859
713,67,1,,119
714,80,2,,1860
715,61,2,FOOD,1860
716,42,1,WASTEMANAGEMENT,120
717,59,4,WASTEMANAGEMENT,4614
718,54,4,FOOD,4614
719,68,2,,1861
720,75,2,,1861
721,67,3,,4058
722,57,2,FOOD,1862
723,13,4,,4614
724,99,2,,1862
725,64,2,WASTEMANAGEMENT,1863
726,50,2,FOOD,1863
727,6,1,,121
728,43,2,FOOD,1864
729,76,2,,1864
730,72,4,,4615
731,24,4,FOOD,4615
732,61,2,WASTEMANAGEMENT,1865
733,28,2,WASTEMANAGEMENT,1865
734,50,1,Unemployed,122
735,66,3,,4058
736,31,1,FOOD,123
737,48,2,FOOD,1866
738,11,4,,4615
739,62,3,FOOD,4059
740,29,3,FOOD,4059
741,52,3,FOOD,4059
742,46,2,WASTEMANAGEMENT,1866
743,63,1,WASTEMANAGEMENT,124
744,64,2,WASTEMANAGEMENT,1867
745,78,2,,1867
746,40,6,FOOD,5080
747,61,1,FOOD,125
748,77,6,,5080
749,86,3,,4060
750,3,2,,1868
751,52,6,FOOD,5080
752,10,1,,126
753,13,5,,4972
754,73,2,,1868
755,11,2,,1869
756,60,2,FOOD,1869
757,35,5,Unemployed,4972
758,72,2,,1870
759,36,2,FOOD,1870
760,63,2,FOOD,1871
761,32,3,FOOD,4060
762,63,2,FOOD,1871
763,62,4,FOOD,4615
764,19,2,Unemployed,1872
765,61,3,FOOD,4060
766,100,2,,1872
767,20,1,Unemployed,127
768,64,2,FOOD,1873
769,54,4,FOOD,4616
770,26,2,FOOD,1873
771,4,2,,1874
772,11,2,,1874
773,18,3,FOOD,4061
774,20,2,WASTEMANAGEMENT,1875
775,54,2,FOOD,1875
776,71,2,,1876
777,54,1,WASTEMANAGEMENT,128
778,68,2,,1876
779,22,2,FOOD,1877
780,13,2,,1877
781,23,2,WASTEMANAGEMENT,1878
782,79,2,,1878
783,14,5,,4972
784,61,2,Unemployed,1879
785,18,1,FOOD,129
786,51,1,WASTEMANAGEMENT,130
787,92,4,,4616
788,28,5,FOOD,4973
789,64,2,FOOD,1879
790,66,3,,4061
